worker,question,answer,truth,time
A2CHE0DIBI76UU,103,1,1,200
A3NPYIGN1MP121,103,1,1,5
AD5IKFAK8KN4P,103,1,1,12
AMUL16N6WKIRI,103,1,1,5
AANKP2NELIU8L,103,1,1,5
A36SM7QM8OK3H6,103,1,1,24
A2QYPEWPAGGKLQ,103,1,1,8
A36470UBRH28GO,103,1,1,6
A3PM8L29POUPBQ,103,1,1,4
A2V3P1XE33NYC3,103,1,1,4
A11VJ9HVZPID81,103,1,1,7
A3O81LHBBI8NPK,103,1,1,10
A1OIXGF4N7O93T,103,1,1,8
A9KPCMO1J1LQF,103,1,1,4
A1LZWU72K42V92,103,1,1,299
A2GR1NO60FBJ2,103,1,1,17
A1YQPOF381ZJRW,103,1,1,6
A25COC9WM9XVME,103,1,1,10
A3NSX46VYD9J49,103,1,1,14
AJPQEZBVJXVE9,8297,0,0,14
A2JPOXYZM5AJZZ,8297,0,0,5
A3NPYIGN1MP121,8297,0,0,6
A2TR0BG1WR2KJB,8297,0,0,16
A2AWDYE8TVVZMV,8297,0,0,4
A2RMJNF6IPI42F,8297,0,0,3
ADMTRXEG43HU0,8297,0,0,11
A2QYPEWPAGGKLQ,8297,0,0,6
A1YXYL67VC9WFO,8297,0,0,12
A26CQZGNV3GJXS,8297,1,0,331
A3TVDFJ22T1FFN,8297,1,0,37
AF9OA6LYG27BX,8297,0,0,4
A1HZJEDSWRG10C,8297,0,0,9
A9KPCMO1J1LQF,8297,0,0,199
A2KPT0PEUEXCC4,8297,1,0,9
A2V3P1XE33NYC3,8297,0,0,4
A24LUXW1DB1QI5,8297,0,0,7
A12YW6GGAFG8JW,8297,0,0,42
A3PM8L29POUPBQ,8297,0,0,3
A2USD3XJ7TU9Y7,8297,0,0,6
AD5IKFAK8KN4P,8307,1,0,15
A2AGDF3VY0L1QP,8307,0,0,4
A1TEQTP52NS7D1,8307,0,0,7
A2V3P1XE33NYC3,8307,0,0,6
A3NPYIGN1MP121,8307,0,0,229
A1JOIMG5E6255D,8307,0,0,55
A3BMEVFSETVOUR,8307,0,0,2
A1KGCOR8OXYR72,8307,0,0,7
A1YQPOF381ZJRW,8307,0,0,5
ADMTRXEG43HU0,8307,0,0,6
A11VJ9HVZPID81,8307,0,0,7
AF9OA6LYG27BX,8307,0,0,4
A26CQZGNV3GJXS,8307,0,0,44
A17F6LB4PVB0Z6,8307,0,0,8
A25ZNH4TNZBJOG,8307,0,0,69
AQRI1E9W5268O,8307,0,0,3
A3NSX46VYD9J49,8307,0,0,35
ALQPGVQZEZSUE,8307,0,0,238
A3PM8L29POUPBQ,8307,0,0,7
ASS4LIVDW452F,8307,0,0,7
A1YQPOF381ZJRW,8309,1,0,4
A23VQ6YY9YM32S,8309,0,0,11
A26CQZGNV3GJXS,8309,0,0,298
A2QYPEWPAGGKLQ,8309,0,0,13
A36SM7QM8OK3H6,8309,0,0,13
A3TVDFJ22T1FFN,8309,0,0,39
A769WXAR6I8QU,8309,0,0,3
AQRI1E9W5268O,8309,0,0,3
A3RR85PK3AV9TU,8309,0,0,3
A1OIXGF4N7O93T,8309,0,0,6
A2V3P1XE33NYC3,8309,0,0,2
A2QAIIROYI52KO,8309,0,0,254
A11VJ9HVZPID81,8309,0,0,4
AHZJB4VTLFCJ6,8309,0,0,12
A2AWDYE8TVVZMV,8309,0,0,4
A32H5INU9CYMCI,8309,0,0,11
AF9OA6LYG27BX,8309,0,0,3
ASS4LIVDW452F,8309,0,0,15
A2Q0G9Q633CN04,8309,0,0,8
A3PM8L29POUPBQ,8309,0,0,5
AMUL16N6WKIRI,8315,0,0,6
A3FHFGC3V9B3OJ,8315,0,0,8
AQRI1E9W5268O,8315,1,0,7
A3VDQ6HZDIPBD4,8315,0,0,14
AJPQEZBVJXVE9,8315,0,0,4
A3PRX6CU0P34NE,8315,0,0,80
ALQPGVQZEZSUE,8315,0,0,573
AHZJB4VTLFCJ6,8315,0,0,226
A1OIXGF4N7O93T,8315,0,0,5
A1YXYL67VC9WFO,8315,0,0,10
A26CQZGNV3GJXS,8315,0,0,212
A36LOA6VLJU157,8315,0,0,6
A1QK90OHMNVT6N,8315,0,0,8
ASS4LIVDW452F,8315,0,0,11
AF9OA6LYG27BX,8315,0,0,6
A2Q0G9Q633CN04,8315,0,0,10
A2QAIIROYI52KO,8315,0,0,202
A2AWDYE8TVVZMV,8315,0,0,4
A3PM8L29POUPBQ,8315,0,0,2
A2V3P1XE33NYC3,8315,0,0,3
A2QYPEWPAGGKLQ,156,1,1,11
A36SM7QM8OK3H6,156,1,1,8
ACCXC5V05C9R9,156,0,1,8
A2AWDYE8TVVZMV,156,1,1,15
A3FHFGC3V9B3OJ,156,1,1,9
A2V3P1XE33NYC3,156,1,1,5
A3P2LT53J1GUBG,156,1,1,38
A3PM8L29POUPBQ,156,1,1,5
A22ZXHWYRRWDCL,156,1,1,12
A1QK90OHMNVT6N,156,1,1,11
A1LZWU72K42V92,156,0,1,278
A35DS4T8H1MWYD,156,0,1,4
A2FUMA4UR6S920,156,1,1,10
A1YQPOF381ZJRW,156,1,1,6
AR2V2N3U8JC96,156,1,1,8
A1Z048705962W6,156,0,1,9
A2C7UETA9SL9SK,156,1,1,8
A1NK6UXWXKFMC7,156,1,1,27
A32H5INU9CYMCI,156,1,1,17
A2USD3XJ7TU9Y7,156,1,1,14
AJPQEZBVJXVE9,216,1,1,19
A1MADOUB1BA0A5,216,1,1,6
AOQ7MU1GAI5X1,216,1,1,7
A3DY78Q4FCWTXX,216,1,1,5
A2C7UETA9SL9SK,216,1,1,5
A2V3P1XE33NYC3,216,1,1,4
AQRI1E9W5268O,216,1,1,3
ASS4LIVDW452F,216,1,1,4
A2N3SBG44JOYJ0,216,1,1,3
A3RR85PK3AV9TU,216,1,1,3
A2Q0G9Q633CN04,216,1,1,9
AR2V2N3U8JC96,216,1,1,2
ALQPGVQZEZSUE,216,1,1,190
A2QYPEWPAGGKLQ,216,1,1,10
A3K43RI91Y567E,216,1,1,72
ASRI4XGCPE999,216,1,1,6
A2AWDYE8TVVZMV,216,1,1,5
A26CQZGNV3GJXS,216,1,1,250
A1QK90OHMNVT6N,216,1,1,10
A2QAIIROYI52KO,216,1,1,242
AQORJW4W8U9YU,246,1,1,9
ALQPGVQZEZSUE,246,1,1,711
AR2V2N3U8JC96,246,1,1,4
A1JOIMG5E6255D,246,1,1,40
A1QK90OHMNVT6N,246,1,1,7
ADPH5QAINZCR4,246,1,1,10
A3PM8L29POUPBQ,246,1,1,4
A2V3P1XE33NYC3,246,1,1,4
A2QAIIROYI52KO,246,1,1,198
A1OIXGF4N7O93T,246,1,1,5
A769WXAR6I8QU,246,1,1,6
AQRI1E9W5268O,246,1,1,5
A3NPYIGN1MP121,246,1,1,3
A1FXXKSGZ7KVQI,246,1,1,61
A2FUMA4UR6S920,246,1,1,6
A2N3SBG44JOYJ0,246,1,1,5
ACVEFRSUAPSEQ,246,1,1,3
A1V6P1ZE6Q8YEW,246,1,1,1187
A3TVDFJ22T1FFN,246,1,1,9
A3D9L5CQXK1YJL,246,1,1,4
A1OIXGF4N7O93T,253,1,1,6
AR2V2N3U8JC96,253,1,1,6
A3TVDFJ22T1FFN,253,1,1,13
A20X14OMRL0YPZ,253,1,1,7
A3FHFGC3V9B3OJ,253,1,1,8
A1V6P1ZE6Q8YEW,253,1,1,458
A1QK90OHMNVT6N,253,1,1,9
A11VJ9HVZPID81,253,1,1,7
A3K43RI91Y567E,253,1,1,6
AOAZMLP27GD81,253,1,1,283
A3DY78Q4FCWTXX,253,1,1,8
A1YQPOF381ZJRW,253,1,1,7
A2QAIIROYI52KO,253,1,1,56
A166A2M31CW2C7,253,1,1,8
A19BMRBO5UAD6H,253,1,1,11
A36SM7QM8OK3H6,253,1,1,5
A3FA1KFSHFVKPM,253,1,1,252
A36470UBRH28GO,253,1,1,6
ADMTRXEG43HU0,253,1,1,5
A3PIAHR6PGXZNT,253,1,1,7
A3NPYIGN1MP121,8447,0,0,6
A2TR0BG1WR2KJB,8447,0,0,43
AQRI1E9W5268O,8447,1,0,11
A1FXXKSGZ7KVQI,8447,0,0,19
ALQPGVQZEZSUE,8447,0,0,241
A1LZWU72K42V92,8447,0,0,309
A26CQZGNV3GJXS,8447,0,0,104
ASRI4XGCPE999,8447,0,0,23
A2JPOXYZM5AJZZ,8447,0,0,22
A25COC9WM9XVME,8447,0,0,7
A19BMRBO5UAD6H,8447,0,0,4
A1OIXGF4N7O93T,8447,0,0,9
A2C7UETA9SL9SK,8447,0,0,11
AANKP2NELIU8L,8447,0,0,5
A9KPCMO1J1LQF,8447,0,0,3
A1UUNYHX3M8O3O,8447,1,0,257
A2FUMA4UR6S920,8447,1,0,10
AR2V2N3U8JC96,8447,0,0,3
AW0MG225VXWCN,8447,0,0,77
A2QYPEWPAGGKLQ,8447,0,0,4
A1YQPOF381ZJRW,1802,1,1,7
A36LOA6VLJU157,1802,1,1,27
A2USD3XJ7TU9Y7,1802,1,1,8
A3PIAHR6PGXZNT,1802,1,1,9
A36470UBRH28GO,1802,1,1,9
ASS4LIVDW452F,1802,1,1,6
A2JPOXYZM5AJZZ,1802,1,1,20
A1KGCOR8OXYR72,1802,1,1,8
A15HVZVDQAD0UJ,1802,1,1,9
A2AWDYE8TVVZMV,1802,1,1,6
A1FXXKSGZ7KVQI,1802,1,1,17
A2V3P1XE33NYC3,1802,1,1,5
A26DN070RE46KD,1802,1,1,7
ADMTRXEG43HU0,1802,1,1,9
A1DH493HKY9ZQ,1802,1,1,50
A3FHFGC3V9B3OJ,1802,1,1,10
AHZJB4VTLFCJ6,1802,1,1,291
A3PM8L29POUPBQ,1802,1,1,4
AJPQEZBVJXVE9,1802,1,1,6
A2Q0G9Q633CN04,1802,1,1,6
A3PM8L29POUPBQ,286,1,1,5
A166A2M31CW2C7,286,1,1,9
A3NPYIGN1MP121,286,1,1,11
A27I79P03I0ZPO,286,1,1,12
AUJHICRFNP62C,286,1,1,11
A1NK6UXWXKFMC7,286,1,1,7
A19BMRBO5UAD6H,286,1,1,7
A2V3P1XE33NYC3,286,1,1,7
A769WXAR6I8QU,286,1,1,8
AQRI1E9W5268O,286,1,1,10
AF9OA6LYG27BX,286,1,1,7
A2CHE0DIBI76UU,286,1,1,306
A26CQZGNV3GJXS,286,1,1,59
A3DY78Q4FCWTXX,286,1,1,3
A1OIXGF4N7O93T,286,1,1,13
A11VJ9HVZPID81,286,1,1,11
A3PIAHR6PGXZNT,286,1,1,28
ALQPGVQZEZSUE,286,1,1,198
A3FA1KFSHFVKPM,286,1,1,341
A3O81LHBBI8NPK,286,1,1,14
A2V3P1XE33NYC3,308,1,1,5
AW7J1S3K29XOA,308,1,1,25
ASHOXF02ZJWXL,308,1,1,37
AZ8KL6F16ZS7G,308,1,1,5
A1Z048705962W6,308,1,1,6
ASS4LIVDW452F,308,1,1,7
AHZJB4VTLFCJ6,308,1,1,269
ACCXC5V05C9R9,308,1,1,14
A36LOA6VLJU157,308,1,1,10
ABI0GL9ER3H1M,308,1,1,17
A2RMJNF6IPI42F,308,1,1,5
A26CQZGNV3GJXS,308,1,1,103
AANKP2NELIU8L,308,1,1,9
A2QAIIROYI52KO,308,1,1,207
AQRI1E9W5268O,308,1,1,6
A3TVDFJ22T1FFN,308,1,1,10
A3PIAHR6PGXZNT,308,1,1,11
A2K5K848SPDG2L,308,0,1,56
A22ZXHWYRRWDCL,308,1,1,16
AD5IKFAK8KN4P,308,0,1,23
A1FXXKSGZ7KVQI,318,1,1,135
A3PM8L29POUPBQ,318,1,1,6
ADPH5QAINZCR4,318,1,1,28
A2FUMA4UR6S920,318,1,1,534
A2ALWT2BUSXD83,318,1,1,9
AQORJW4W8U9YU,318,0,1,7
A1QK90OHMNVT6N,318,1,1,11
A2V3P1XE33NYC3,318,1,1,9
A2Q0G9Q633CN04,318,1,1,7
A3NSX46VYD9J49,318,0,1,25
ALQPGVQZEZSUE,318,0,1,35
A2USD3XJ7TU9Y7,318,1,1,7
A9KPCMO1J1LQF,318,1,1,198
A2AWDYE8TVVZMV,318,1,1,14
A3DY78Q4FCWTXX,318,1,1,3
A1MADOUB1BA0A5,318,1,1,10
AHZJB4VTLFCJ6,318,0,1,46
A15HVZVDQAD0UJ,318,1,1,40
A1V6P1ZE6Q8YEW,318,1,1,16
ADMTRXEG43HU0,318,1,1,12
A1NK6UXWXKFMC7,8520,1,0,6
A35DS4T8H1MWYD,8520,1,0,5
A166A2M31CW2C7,8520,1,0,9
ALQPGVQZEZSUE,8520,1,0,75
A26CQZGNV3GJXS,8520,1,0,282
AJPQEZBVJXVE9,8520,1,0,8
A34WGHYYMQWJF0,8520,1,0,16
A36SM7QM8OK3H6,8520,1,0,17
A2JUIW09ZP5KFS,8520,1,0,9
ACCXC5V05C9R9,8520,1,0,8
A3TVDFJ22T1FFN,8520,1,0,18
A3O81LHBBI8NPK,8520,1,0,117
A2C7UETA9SL9SK,8520,1,0,21
A2Q0G9Q633CN04,8520,1,0,8
A3DY78Q4FCWTXX,8520,1,0,8
A1QK90OHMNVT6N,8520,1,0,17
AR2V2N3U8JC96,8520,0,0,3
A1YQPOF381ZJRW,8520,1,0,4
A2AWDYE8TVVZMV,8520,1,0,12
A3RR85PK3AV9TU,8520,1,0,5
A24LUXW1DB1QI5,8551,0,0,6
ALQPGVQZEZSUE,8551,0,0,181
A1MADOUB1BA0A5,8551,0,0,7
A9KPCMO1J1LQF,8551,0,0,3
A1FXXKSGZ7KVQI,8551,0,0,18
AQRI1E9W5268O,8551,0,0,2
A2JPOXYZM5AJZZ,8551,0,0,15
ASS4LIVDW452F,8551,0,0,4
A1NK6UXWXKFMC7,8551,0,0,3
A19BMRBO5UAD6H,8551,0,0,4
A166A2M31CW2C7,8551,0,0,10
A1Z048705962W6,8551,0,0,5
A3VDQ6HZDIPBD4,8551,0,0,9
A2USD3XJ7TU9Y7,8551,0,0,3
A2FUMA4UR6S920,8551,0,0,3
A3FHFGC3V9B3OJ,8551,0,0,4
A2C7UETA9SL9SK,8551,0,0,5
A2AWDYE8TVVZMV,8551,0,0,4
AF9OA6LYG27BX,8551,0,0,3
A2RMJNF6IPI42F,8551,0,0,2
AQRI1E9W5268O,370,1,1,5
ADMTRXEG43HU0,370,1,1,8
A3PIAHR6PGXZNT,370,1,1,11
A3TVDFJ22T1FFN,370,1,1,16
A1UUNYHX3M8O3O,370,1,1,10
A19BMRBO5UAD6H,370,1,1,6
A1NK6UXWXKFMC7,370,1,1,7
A3PM8L29POUPBQ,370,1,1,19
A26CQZGNV3GJXS,370,1,1,218
AF9OA6LYG27BX,370,1,1,6
A2AWDYE8TVVZMV,370,1,1,6
A3NPYIGN1MP121,370,1,1,6
A3FHFGC3V9B3OJ,370,1,1,9
A2FUMA4UR6S920,370,1,1,9
ABN92G6H73097,370,1,1,7
A3DY78Q4FCWTXX,370,1,1,8
A36SM7QM8OK3H6,370,1,1,5
A1FXXKSGZ7KVQI,370,1,1,176
AZ8KL6F16ZS7G,370,1,1,5
A3RR85PK3AV9TU,370,1,1,5
A36470UBRH28GO,405,1,1,7
A2JPOXYZM5AJZZ,405,0,1,6
AQRI1E9W5268O,405,1,1,4
A2ALWT2BUSXD83,405,1,1,8
A26M2B8NZVKWTZ,405,0,1,6
A3NPYIGN1MP121,405,1,1,17
A1NK6UXWXKFMC7,405,1,1,116
A2CWJRAEFZ44HU,405,1,1,10
ASRI4XGCPE999,405,0,1,19
AF9OA6LYG27BX,405,1,1,7
A2AWDYE8TVVZMV,405,1,1,14
A2USD3XJ7TU9Y7,405,1,1,21
A15HVZVDQAD0UJ,405,1,1,28
ACVEFRSUAPSEQ,405,1,1,11
ASS4LIVDW452F,405,0,1,19
ANK8K5WTHJ61C,405,1,1,132
A24LUXW1DB1QI5,405,1,1,9
A1YQPOF381ZJRW,405,0,1,8
A1QK90OHMNVT6N,405,1,1,8
A1KGCOR8OXYR72,405,1,1,7
AW7J1S3K29XOA,9625,0,0,11
A2V3P1XE33NYC3,9625,1,0,4
A2C7UETA9SL9SK,9625,1,0,15
A3NSX46VYD9J49,9625,1,0,45
A1NK6UXWXKFMC7,9625,0,0,4
A82BT104GBNC,9625,0,0,52
AR2V2N3U8JC96,9625,1,0,10
AHZJB4VTLFCJ6,9625,0,0,70
A26CQZGNV3GJXS,9625,1,0,348
AQRI1E9W5268O,9625,0,0,12
A32H5INU9CYMCI,9625,0,0,17
A2QAIIROYI52KO,9625,1,0,119
A3FHFGC3V9B3OJ,9625,1,0,13
A3TVDFJ22T1FFN,9625,0,0,12
A1OIXGF4N7O93T,9625,1,0,11
A3PRX6CU0P34NE,9625,1,0,30
A1FXXKSGZ7KVQI,9625,1,0,113
A3P2LT53J1GUBG,9625,0,0,13
A3O81LHBBI8NPK,9625,0,0,17
A3K43RI91Y567E,9625,0,0,10
AQRI1E9W5268O,8615,0,0,4
A1NK6UXWXKFMC7,8615,0,0,4
A1YQPOF381ZJRW,8615,0,0,3
A2RMJNF6IPI42F,8615,0,0,4
A87D3K9YVKTQ7,8615,1,0,10
ADPH5QAINZCR4,8615,0,0,7
A2V3P1XE33NYC3,8615,0,0,2
A3O81LHBBI8NPK,8615,0,0,11
A1FXXKSGZ7KVQI,8615,0,0,72
A9KPCMO1J1LQF,8615,0,0,7
A15HVZVDQAD0UJ,8615,0,0,7
A23VQ6YY9YM32S,8615,0,0,4
A2S96ZZ70YFPSK,8615,0,0,10
A1WRYUFOYFF8QO,8615,0,0,321
A2CWJRAEFZ44HU,8615,0,0,25
A2C7UETA9SL9SK,8615,0,0,5
A2DTELFC4X0QJQ,8615,0,0,5
A3TVDFJ22T1FFN,8615,0,0,20
A1UUNYHX3M8O3O,8615,0,0,253
A2QAIIROYI52KO,8615,0,0,301
A2C7UETA9SL9SK,434,1,1,8
AD5IKFAK8KN4P,434,1,1,29
A2GR1NO60FBJ2,434,1,1,31
A3FHFGC3V9B3OJ,434,1,1,13
A36SM7QM8OK3H6,434,1,1,11
A2V3P1XE33NYC3,434,1,1,14
A2JPOXYZM5AJZZ,434,1,1,81
ADPH5QAINZCR4,434,1,1,22
AJPQEZBVJXVE9,434,1,1,9
A3DLWGA9J3LU3H,434,1,1,13
A3PM8L29POUPBQ,434,0,1,4
AANKP2NELIU8L,434,0,1,10
A2ALWT2BUSXD83,434,1,1,21
A19BMRBO5UAD6H,434,1,1,12
A23VQ6YY9YM32S,434,1,1,8
A3NPYIGN1MP121,434,1,1,9
A2C57JVPIOH7F2,434,0,1,9
A1YQPOF381ZJRW,434,1,1,6
A1OIXGF4N7O93T,434,0,1,12
ABI0GL9ER3H1M,434,1,1,6
AOAZMLP27GD81,442,1,1,280
A2S96ZZ70YFPSK,442,1,1,13
A24LUXW1DB1QI5,442,1,1,12
ADPH5QAINZCR4,442,1,1,10
A3FHFGC3V9B3OJ,442,1,1,6
A2C57JVPIOH7F2,442,1,1,91
ALQPGVQZEZSUE,442,1,1,713
A1FXXKSGZ7KVQI,442,1,1,147
A26CQZGNV3GJXS,442,1,1,77
A3NPYIGN1MP121,442,1,1,4
AQRI1E9W5268O,442,1,1,5
A2Q0G9Q633CN04,442,1,1,6
A36LOA6VLJU157,442,1,1,10
A166A2M31CW2C7,442,1,1,5
A2AWDYE8TVVZMV,442,1,1,5
A1UUNYHX3M8O3O,442,1,1,258
A1OIXGF4N7O93T,442,1,1,9
A3O81LHBBI8NPK,442,1,1,7
A1V6P1ZE6Q8YEW,442,1,1,627
A2QYPEWPAGGKLQ,442,1,1,7
A2QYPEWPAGGKLQ,8642,1,0,11
A3FHFGC3V9B3OJ,8642,1,0,20
A2V3P1XE33NYC3,8642,1,0,10
AQORJW4W8U9YU,8642,0,0,16
AR2V2N3U8JC96,8642,0,0,10
AJPQEZBVJXVE9,8642,1,0,8
A2AWDYE8TVVZMV,8642,1,0,18
ALQPGVQZEZSUE,8642,1,0,244
A1KGCOR8OXYR72,8642,1,0,36
A2Q0G9Q633CN04,8642,1,0,14
A36470UBRH28GO,8642,1,0,25
A2RMJNF6IPI42F,8642,0,0,5
AHZJB4VTLFCJ6,8642,0,0,320
ACCXC5V05C9R9,8642,1,0,16
A9KPCMO1J1LQF,8642,0,0,11
A25COC9WM9XVME,8642,1,0,13
AD5IKFAK8KN4P,8642,0,0,12
A2USD3XJ7TU9Y7,8642,1,0,9
A1FXXKSGZ7KVQI,8642,0,0,182
ACVEFRSUAPSEQ,8642,0,0,12
A26CQZGNV3GJXS,462,1,1,277
A82BT104GBNC,462,1,1,23
A2JPOXYZM5AJZZ,462,1,1,57
A2C7UETA9SL9SK,462,1,1,9
A2V3P1XE33NYC3,462,1,1,8
A9KPCMO1J1LQF,462,1,1,6
A2USD3XJ7TU9Y7,462,1,1,8
A34WGHYYMQWJF0,462,1,1,22
A36470UBRH28GO,462,1,1,14
A3PM8L29POUPBQ,462,1,1,5
AF9OA6LYG27BX,462,1,1,8
A19BMRBO5UAD6H,462,1,1,14
AANKP2NELIU8L,462,1,1,8
AMUL16N6WKIRI,462,1,1,11
A3P2LT53J1GUBG,462,1,1,25
A1YQPOF381ZJRW,462,1,1,9
A2ALWT2BUSXD83,462,1,1,6
A2AWDYE8TVVZMV,462,1,1,8
A3DY78Q4FCWTXX,462,1,1,16
A2QAIIROYI52KO,462,1,1,79
A1FXXKSGZ7KVQI,8686,0,0,182
A2QYPEWPAGGKLQ,8686,0,0,10
A36SM7QM8OK3H6,8686,0,0,8
A2C57JVPIOH7F2,8686,0,0,10
