,uid,topic_item,rankings,labelstr
18,1,91,"[ 537  565  946  282  303  731  571  651  637  350  634  636  675  579
  763  643 1069  177 1022  517  510  325  647  762  587]","[ 537  565  946  282  303  731  571  651  637  350  634  636  675  579
  763  643 1069  177 1022  517  510  325  647  762  587]"
19,1,98,"[ 422  633  155  990  606  148  983  761  498  395  530  500 1187  874
  713  988  989 1192  920 1140  631  274  932  698  550]","[ 422  633  155  990  606  148  983  761  498  395  530  500 1187  874
  713  988  989 1192  920 1140  631  274  932  698  550]"
0,2,1,"[ 502  644  646  166 1069  537  561  645  640  778  634  325  578  635
  657  563  656  643  291  581  651  636  510  511  568]","[ 502  644  646  166 1069  537  561  645  640  778  634  325  578  635
  657  563  656  643  291  581  651  636  510  511  568]"
1,2,8,"[ 726  279  952  654  214  476  243  311  314  534  845  484 1050   39
   46 1132  513  285 1011  895 1120  402  727  292  408]","[ 726  279  952  654  214  476  243  311  314  534  845  484 1050   39
   46 1132  513  285 1011  895 1120  402  727  292  408]"
2,2,18,"[573 749 203 878 162 883 889 160 887 470 872 167 869 886 888  54 882 463
 168 879 468 881  88 880 460]","[573 749 203 878 162 883 889 160 887 470 872 167 869 886 888  54 882 463
 168 879 468 881  88 880 460]"
3,2,19,"[ 767  122 1164 1013  629  506  833  117  742  591  691  732  705  925
  709 1165  125  724 1021  784 1139  245  707  121  715]","[ 767  122 1164 1013  629  506  833  117  742  591  691  732  705  925
  709 1165  125  724 1021  784 1139  245  707  121  715]"
4,2,34,"[1179  982  396   37  208   29  624 1180   34  620  384   31   40  520
 1176  207  389  453  546  926  979 1175  424  192  618]","[1179  982  396   37  208   29  624 1180   34  620  384   31   40  520
 1176  207  389  453  546  926  979 1175  424  192  618]"
5,2,39,"[1139  704  715  703  503  724  122  834  925  818 1062  213 1095  833
  767  706  782  790  117  941 1164 1021  705  799  691]","[1139  704  715  703  503  724  122  834  925  818 1062  213 1095  833
  767  706  782  790  117  941 1164 1021  705  799  691]"
6,2,43,"[1024   98  768  527  305  590  914 1128  685  526  452  156 1023  557
  441  696   42  321  346  523  165  669  697 1009  695]","[1024   98  768  527  305  590  914 1128  685  526  452  156 1023  557
  441  696   42  321  346  523  165  669  697 1009  695]"
7,2,45,"[ 731 1022  578  640  637  644  581  325  647  502  565  946  643  564
  329  517  778  646  635  634  927  537  571  563  645]","[ 731 1022  578  640  637  644  581  325  647  502  565  946  643  564
  329  517  778  646  635  634  927  537  571  563  645]"
8,2,51,"[ 348  494  449  538  610  438  107  607  259  338  444  317  757  605
   83  128   77  677  852  986 1018  652  233 1063  710]","[ 348  494  449  538  610  438  107  607  259  338  444  317  757  605
   83  128   77  677  852  986 1018  652  233 1063  710]"
9,2,57,"[ 553  204  692  275  200  684  911  295  482  934  477  937  673 1127
  781  682   72 1044  686 1004  474  681  201  935  433]","[ 553  204  692  275  200  684  911  295  482  934  477  937  673 1127
  781  682   72 1044  686 1004  474  681  201  935  433]"
10,2,60,"[ 452 1116  441  658  489  174 1009 1024  557  590   98  642  342   35
  526  182  697 1171  685  454  849  914  102  768  523]","[ 452 1116  441  658  489  174 1009 1024  557  590   98  642  342   35
  526  182  697 1171  685  454  849  914  102  768  523]"
11,2,63,"[1150  344  405 1078 1151 1149  816  268   44  397 1148 1173 1152   57
 1088  794  407  495  257  187  237 1146 1160 1124 1189]","[1150  344  405 1078 1151 1149  816  268   44  397 1148 1173 1152   57
 1088  794  407  495  257  187  237 1146 1160 1124 1189]"
12,2,65,"[1071  972  821 1080 1060  176  908  184  611 1085  442  906  555  977
 1131  415  355 1081  252 1077  429 1137  575  996 1172]","[1071  972  821 1080 1060  176  908  184  611 1085  442  906  555  977
 1131  415  355 1081  252 1077  429 1137  575  996 1172]"
13,2,67,"[ 810  157  806  361 1168 1027  387  443  779 1059  812  251  741 1098
  702   68  789  615  196  364 1167  533  131  341 1037]","[ 810  157  806  361 1168 1027  387  443  779 1059  812  251  741 1098
  702   68  789  615  196  364 1167  533  131  341 1037]"
14,2,74,"[ 612  826  483  198  863   27 1006  890  813   41  283  501  306  109
  127   55  820  831  319  310  754  918  559  815  924]","[ 612  826  483  198  863   27 1006  890  813   41  283  501  306  109
  127   55  820  831  319  310  754  918  559  815  924]"
15,2,78,"[1186 1037 1166  702  812  789  472  157  810 1027  443  364  779 1123
  860 1059  615  341 1133  929  806  359  884  226  362]","[1186 1037 1166  702  812  789  472  157  810 1027  443  364  779 1123
  860 1059  615  341 1133  929  806  359  884  226  362]"
16,2,83,"[ 787  774 1188  318  773 1156 1038  116   10 1102 1010 1012  893  217
  276  793  139  822   82  486  769   97  134 1114  722]","[ 787  774 1188  318  773 1156 1038  116   10 1102 1010 1012  893  217
  276  793  139  822   82  486  769   97  134 1114  722]"
17,2,88,"[ 533  471 1027  362 1098  619  810  789  251  337  359  702 1026  324
  387  860 1123 1015 1059  472  712  884 1168  361  196]","[ 533  471 1027  362 1098  619  810  789  251  337  359  702 1026  324
  387  860 1123 1015 1059  472  712  884 1168  361  196]"
18,2,93,"[ 303  763 1069 1158  563  762  647  634  636 1034  859  651  564  510
  579  325  571  291  568  329 1022  637  927  569  166]","[ 303  763 1069 1158  563  762  647  634  636 1034  859  651  564  510
  579  325  571  291  568  329 1022  637  927  569  166]"
19,2,98,"[ 422  155  633  498  500  530  990  148  631  932  395  921  983 1140
  761  874  606  550  108  989 1191  866  948  435  404]","[ 422  155  633  498  500  530  990  148  631  932  395  921  983 1140
  761  874  606  550  108  989 1191  866  948  435  404]"
0,3,2,"[ 694  420  234  801  985  993  144  103  464 1093 1097  991  939    8
  804  994   58 1056 1051  987  933  665   75  808  280]","[ 694  420  234  801  985  993  144  103  464 1093 1097  991  939    8
  804  994   58 1056 1051  987  933  665   75  808  280]"
1,3,6,"[ 130  116  217  224   82  773  216  459  137  206  532  822  318  978
 1010  774  140   67 1038  253  793  486   97  722  159]","[ 130  116  217  224   82  773  216  459  137  206  532  822  318  978
 1010  774  140   67 1038  253  793  486   97  722  159]"
2,3,9,"[ 312 1029  432   63   74 1068 1092  664  909   13  183  391   65 1145
  570  825  461  378  928  541  326 1121 1016  892  365]","[ 312 1029  432   63   74 1068 1092  664  909   13  183  391   65 1145
  570  825  461  378  928  541  326 1121 1016  892  365]"
3,3,14,"[ 832  175  958  976  970  850  974  975  923  739  158  421  969  661
  966  481  440  998 1197  210  854  824  490  385 1119]","[ 832  175  958  976  970  850  974  975  923  739  158  421  969  661
  966  481  440  998 1197  210  854  824  490  385 1119]"
4,3,18,"[749 573 878 883 162 203 886 889 167 887 470 872 160 869 463 888 168  54
 468 882 881 879 460 880 367]","[749 573 878 883 162 203 886 889 167 887 470 872 160 869 463 888 168  54
 468 882 881 879 460 880 367]"
5,3,20,"[ 980  184  347  858  908 1070  185  352  356  248 1084  912 1137  442
  977  252 1076  555  355  972  611  906 1086 1075 1079]","[ 980  184  347  858  908 1070  185  352  356  248 1084  912 1137  442
  977  252 1076  555  355  972  611  906 1086 1075 1079]"
6,3,30,"[ 824  481  133  970  220 1197  968  110  814  966 1072  158  490  175
  971 1111  958  998 1000  440  969  850  785  753  739]","[ 824  481  133  970  220 1197  968  110  814  966 1072  158  490  175
  971 1111  958  998 1000  440  969  850  785  753  739]"
7,3,33,"[ 202  313  586 1185 1104  205   66   64  898  331  509  871  171  151
  401  456   80  309  516  505  916  567   52 1108  428]","[ 202  313  586 1185 1104  205   66   64  898  331  509  871  171  151
  401  456   80  309  516  505  916  567   52 1108  428]"
8,3,36,"[1170  230  893    6  787  459 1010 1159  134  106  800 1012 1188  793
 1038   10   97   82  486  130  137    1  140  774  532]","[1170  230  893    6  787  459 1010 1159  134  106  800 1012 1188  793
 1038   10   97   82  486  130  137    1  140  774  532]"
9,3,43,"[  98 1024  768  305  914  590  997 1023  182  156  452  527 1128  685
  526  696  557  165   47  523  658  335   42  489  697]","[  98 1024  768  305  914  590  997 1023  182  156  452  527 1128  685
  526  696  557  165   47  523  658  335   42  489  697]"
10,3,45,"[ 640  731 1022  637  578  647  581  325  927  946  563  644  564  646
  537  778  502  643  329 1158  282  635  517  587  565]","[ 640  731 1022  637  578  647  581  325  927  946  563  644  564  646
  537  778  502  643  329 1158  282  635  517  587  565]"
11,3,46,"[627  30  94 111 180 190 735  43  33  51 416 963 700 760 228  61 298  11
 126 406 699 693 729 718 957]","[627  30  94 111 180 190 735  43  33  51 416 963 700 760 228  61 298  11
 126 406 699 693 729 718 957]"
12,3,49,"[1041  195  437  809  238  723  721  447  436   87 1182  885  548 1074
 1031   93    7    0  388  841  231  566  458  138  239]","[1041  195  437  809  238  723  721  447  436   87 1182  885  548 1074
 1031   93    7    0  388  841  231  566  458  138  239]"
13,3,53,"[ 619 1166  387  341 1059 1186  339  806  780  812  471  361 1133  251
  702  884 1058 1157  860  324  157 1027  741 1098  533]","[ 619 1166  387  341 1059 1186  339  806  780  812  471  361 1133  251
  702  884 1058 1157  860  324  157 1027  741 1098  533]"
14,3,65,"[1071  821  972 1060  176  908  184 1080 1085  442  555  415  252 1070
 1081  575  355  906 1084 1066  977  611 1086 1131  356]","[1071  821  972 1060  176  908  184 1080 1085  442  555  415  252 1070
 1081  575  355  906 1084 1066  977  611 1086 1131  356]"
15,3,76,"[ 962  829  223   23 1174  115  744  745  434  427  862   36  625  598
  595  246  562  743  519  791  805  215  868   73  302]","[ 962  829  223   23 1174  115  744  745  434  427  862   36  625  598
  595  246  562  743  519  791  805  215  868   73  302]"
16,3,81,"[1098  150  251  364 1037  362  860  533  712 1167  443 1126  741  806
  812  619  471  615  780 1027  337 1166  779 1186  361]","[1098  150  251  364 1037  362  860  533  712 1167  443 1126  741  806
  812  619  471  615  780 1027  337 1166  779 1186  361]"
17,3,84,"[ 355 1131  977 1086 1082  118  352  555 1070 1172  611 1060  415  184
  442  123  255  287  356 1076  821 1066  252 1137 1085]","[ 355 1131  977 1086 1082  118  352  555 1070 1172  611 1060  415  184
  442  123  255  287  356 1076  821 1066  252 1137 1085]"
18,3,85,"[ 462  984  870  250  616  380   50  197 1122  798  299  188  114  792
  194  322  535  856 1178  143  560  120  942  256  554]","[ 462  984  870  250  616  380   50  197 1122  798  299  188  114  792
  194  322  535  856 1178  143  560  120  942  256  554]"
19,3,86,"[1028 1118    9  343  426  515 1073  258  803  479  446  296  956  943
   25  522  628 1107   49   85  419   14   17  172  491]","[1028 1118    9  343  426  515 1073  258  803  479  446  296  956  943
   25  522  628 1107   49   85  419   14   17  172  491]"
0,4,0,"[  40  192   37  520   34  208  384 1179  690   53  209   29  207   31
 1175 1180  396  424  178   16  736  249  389  546   62]","[  40  192   37  520   34  208  384 1179  690   53  209   29  207   31
 1175 1180  396  424  178   16  736  249  389  546   62]"
1,4,2,"[ 694  420  234  801  985  993  144  103  464 1093 1097  991  939    8
  804   58  994 1051 1056  933  987  665  808  280   75]","[ 694  420  234  801  985  993  144  103  464 1093 1097  991  939    8
  804   58  994 1051 1056  933  987  665  808  280   75]"
2,4,9,"[ 312   74   63 1029  432 1068 1092  664  909  183   13  825  391  570
 1145  928   65  378  541  326 1121  461  365  827  301]","[ 312   74   63 1029  432 1068 1092  664  909  183   13  825  391  570
 1145  928   65  378  541  326 1121  461  365  827  301]"
3,4,12,"[1099 1100  289  316  290  271  247  413  366 1019  370  315  602  193
  672  374   89  847  772  372 1033  368 1153  262  671]","[1099 1100  289  316  290  271  247  413  366 1019  370  315  602  193
  672  374   89  847  772  372 1033  368 1153  262  671]"
4,4,24,"[ 285  513  484  469 1011  617  243  279  945 1050 1132  951  777 1136
 1042  964  851 1048 1120   60  408 1135  292  311  621]","[ 285  513  484  469 1011  617  243  279  945 1050 1132  951  777 1136
 1042  964  851 1048 1120   60  408 1135  292  311  621]"
5,4,27,"[ 354  824  385  844  481  661  210  969  133  440  659  998 1072  175
  976  785  814  975  923  966  968  110  158 1199  970]","[ 354  824  385  844  481  661  210  969  133  440  659  998 1072  175
  976  785  814  975  923  966  968  110  158 1199  970]"
6,4,31,"[ 828 1182    7 1193  101  548   93  913 1112  436  266  238  930  507
  414  536  270  360  388  723  437  809  529  149  195]","[ 828 1182    7 1193  101  548   93  913 1112  436  266  238  930  507
  414  536  270  360  388  723  437  809  529  149  195]"
7,4,34,"[1179  982  396  208   37  620   34  926 1180  192  384  389  624   29
   40  618   38  546  979   31 1175  424 1176  453  207]","[1179  982  396  208   37  620   34  926 1180  192  384  389  624   29
   40  618   38  546  979   31 1175  424 1176  453  207]"
8,4,40,"[ 978 1156  532  137 1159  769 1010  752  793   82  140  139   67  893
  134  224  106 1102  206  318 1012  788 1038  787  141]","[ 978 1156  532  137 1159  769 1010  752  793   82  140  139   67  893
  134  224  106 1102  206  318 1012  788 1038  787  141]"
9,4,41,"[ 847  786 1153  666  582  907  772  271  315  262  244 1141  602  289
  368  512  272  372 1196  294  119  623  247  577  241]","[ 847  786 1153  666  582  907  772  271  315  262  244 1141  602  289
  368  512  272  372 1196  294  119  623  247  577  241]"
10,4,52,"[ 340 1049   21 1094  258 1103  803   90  479  426   25  412  770  543
  759 1101  343  943  687  491  758   48  515    9 1096]","[ 340 1049   21 1094  258 1103  803   90  479  426   25  412  770  543
  759 1101  343  943  687  491  758   48  515    9 1096]"
11,4,59,"[ 520 1184  837 1179   45   37  178   16  209  736   53  624  218  453
  480  288  618   31  546 1176  738  192  688  690   29]","[ 520 1184  837 1179   45   37  178   16  209  736   53  624  218  453
  480  288  618   31  546 1176  738  192  688  690   29]"
12,4,60,"[ 452   98  658 1009 1116  174  441  557 1171  489 1024  642  182  768
   35  730  830  590  914  697  342 1115   99  594  305]","[ 452   98  658 1009 1116  174  441  557 1171  489 1024  642  182  768
   35  730  830  590  914  697  342 1115   99  594  305]"
13,4,65,"[ 972  176 1071  906 1080  821  575 1085  415  184  908 1131  611 1077
  996 1066  252 1060  347  429  255 1137  980  355  555]","[ 972  176 1071  906 1080  821  575 1085  415  184  908 1131  611 1077
  996 1066  252 1060  347  429  255 1137  980  355  555]"
14,4,67,"[ 387 1168  157  810  702   68  812 1098 1027  251  341 1186  779  361
 1123 1037 1036  131  741 1126  471 1026  443  196  806]","[ 387 1168  157  810  702   68  812 1098 1027  251  341 1186  779  361
 1123 1037 1036  131  741 1126  471 1026  443  196  806]"
15,4,69,"[ 442  252 1070  972  821  185 1083  415 1071  611  429 1084  906 1060
  977  555  996 1082 1081  123  575  912 1080  176 1077]","[ 442  252 1070  972  821  185 1083  415 1071  611  429 1084  906 1060
  977  555  996 1082 1081  123  575  912 1080  176 1077]"
16,4,75,"[ 188  194  120  855  114  242  250  277  232  531  462  856  903  386
  848  839  256  261  616  896  211   50 1064  668  984]","[ 188  194  120  855  114  242  250  277  232  531  462  856  903  386
  848  839  256  261  616  896  211   50 1064  668  984]"
17,4,78,"[1027 1186  860  702 1166  443  810  615  789  362  779 1037  337  812
  341 1167  364  741   68  806  157  359 1123  131  929]","[1027 1186  860  702 1166  443  810  615  789  362  779 1037  337  812
  341 1167  364  741   68  806  157  359 1123  131  929]"
18,4,95,"[ 815  755  819  823  547  890  689  109  899  483  865  501  127  283
 1113  826  448  737  857  417  278  917  559  863 1130]","[ 815  755  819  823  547  890  689  109  899  483  865  501  127  283
 1113  826  448  737  857  417  278  917  559  863 1130]"
19,4,99,"[ 232  383  535 1122  386  277   50  848  942 1178  242  197  194  552
  855  531  380  539  143 1064  840  931  668  261  856]","[ 232  383  535 1122  386  277   50  848  942 1178  242  197  194  552
  855  531  380  539  143 1064  840  931  668  261  856]"
0,5,4,"[1098 1015  150 1167   68  361 1026 1157 1133  789 1027 1166  337  339
 1037  196  359  741  362  929  712  387  157  226  702]","[1098 1015  150 1167   68  361 1026 1157 1133  789 1027 1166  337  339
 1037  196  359  741  362  929  712  387  157  226  702]"
1,5,6,"[ 130  116  217  224   82  773  216  137  459  532 1010  774  318  140
  822  978  206 1038  253   67  793  486  722   97  159]","[ 130  116  217  224   82  773  216  137  459  532 1010  774  318  140
  822  978  206 1038  253   67  793  486  722   97  159]"
2,5,13,"[ 128  107  757  233  683  317  585  599  986  852   77  678  853 1063
  771  710  775  423  348  592  609  589  556  776  677]","[ 128  107  757  233  683  317  585  599  986  852   77  678  853 1063
  771  710  775  423  348  592  609  589  556  776  677]"
3,5,15,"[ 187  765 1148  794 1163 1105  397 1142  549 1124 1143  961  332 1147
 1173 1146  653 1160 1149 1088  268 1189   44  816 1151]","[ 187  765 1148  794 1163 1105  397 1142  549 1124 1143  961  332 1147
 1173 1146  653 1160 1149 1088  268 1189   44  816 1151]"
4,5,21,"[190 760  95 627 260 915 465 323 718 999 700 269 746 729 699 693 735 963
 861 679 263 967 714 100  43]","[190 760  95 627 260 915 465 323 718 999 700 269 746 729 699 693 735 963
 861 679 263 967 714 100  43]"
5,5,25,"[180 760  30 100 746 729 281 915 126 111 699 627 273 173  43  11 451  12
 228 298  61 735 263 718 129]","[180 760  30 100 746 729 281 915 126 111 699 627 273 173  43  11 451  12
 228 298  61 735 263 718 129]"
6,5,26,"[ 455  128  317  683   77  338  652  585  853 1018  775  409  538  757
  348  710  328  660  375  349  610   56 1063  605  259]","[ 455  128  317  683   77  338  652  585  853 1018  775  409  538  757
  348  710  328  660  375  349  610   56 1063  605  259]"
7,5,27,"[ 354  824  385  844  661  785  481 1072  968  440  210  976  488 1199
  175 1000  998  659  975  110  487 1181  923  973  650]","[ 354  824  385  844  661  785  481 1072  968  440  210  976  488 1199
  175 1000  998  659  975  110  487 1181  923  973  650]"
8,5,42,"[ 124   55  857  417  547  900 1001  813  448  593 1113  198  521  890
  267  689  559 1130  924  755  820 1006  109  278  501]","[ 124   55  857  417  547  900 1001  813  448  593 1113  198  521  890
  267  689  559 1130  924  755  820 1006  109  278  501]"
9,5,43,"[  98 1024  768  305 1128  590 1023   42  452  914  526  696  156  346
  685  655   99  557  997  182  849  441  527  335 1009]","[  98 1024  768  305 1128  590 1023   42  452  914  526  696  156  346
  685  655   99  557  997  182  849  441  527  335 1009]"
10,5,58,"[ 840  462  531  120  261 1178  540  383  870  191  163  242  322  552
  376   50  931  386  535  114  380  848  235  256  554]","[ 840  462  531  120  261 1178  540  383  870  191  163  242  322  552
  376   50  931  386  535  114  380  848  235  256  554]"
