,uid,item,annotation,pred_uerr
73,169,57,"[([339.0, 588.0], [362.0, 616.0]), ([298.0, 585.0], [324.0, 610.0]), ([266.0, 579.0], [287.0, 605.0]), ([222.0, 576.0], [246.0, 596.0]), ([201.0, 574.0], [222.0, 595.0]), ([177.0, 568.0], [198.0, 592.0]), ([156.0, 567.0], [177.0, 582.0]), ([70.0, 548.0], [90.0, 567.0]), ([52.0, 545.0], [70.0, 567.0])]",0.6179430262964376
74,11,57,"[([344.0, 587.0], [361.0, 617.0]), ([301.0, 585.0], [323.0, 611.0]), ([265.0, 582.0], [281.0, 604.0]), ([230.0, 570.0], [237.0, 599.0]), ([201.0, 567.0], [218.0, 593.0]), ([180.0, 568.0], [193.0, 586.0])]",0.5256312198783651
75,13,57,"[([352.0, 602.0], [370.0, 634.0]), ([520.0, 583.0], [550.0, 629.0]), ([301.0, 587.0], [324.0, 608.0]), ([264.0, 583.0], [289.0, 599.0]), ([224.0, 569.0], [252.0, 601.0])]",0.6059515981572264
76,95,57,"[([344.0, 592.0], [358.0, 611.0]), ([304.0, 588.0], [316.0, 606.0]), ([265.0, 581.0], [279.0, 598.0]), ([227.0, 577.0], [237.0, 591.0]), ([204.0, 574.0], [213.0, 587.0]), ([178.0, 571.0], [189.0, 584.0])]",0.5847965424647575
77,186,57,"[([346.0, 594.0], [359.0, 615.0]), ([303.0, 588.0], [318.0, 607.0]), ([269.0, 583.0], [280.0, 601.0]), ([229.0, 578.0], [238.0, 595.0]), ([205.0, 574.0], [214.0, 592.0]), ([178.0, 572.0], [189.0, 586.0])]",0.5522407426565659
78,21,57,"[([341.0, 590.0], [360.0, 616.0]), ([303.0, 587.0], [318.0, 606.0]), ([266.0, 583.0], [279.0, 599.0]), ([227.0, 576.0], [241.0, 593.0]), ([205.0, 572.0], [217.0, 590.0]), ([178.0, 572.0], [190.0, 586.0]), ([159.0, 568.0], [175.0, 581.0])]",0.5126646934504498
80,126,57,"[([180.0, 570.0], [189.0, 584.0]), ([202.0, 573.0], [215.0, 591.0]), ([227.0, 574.0], [243.0, 595.0]), ([266.0, 582.0], [281.0, 601.0]), ([302.0, 588.0], [319.0, 610.0]), ([342.0, 595.0], [360.0, 614.0])]",0.47307830288459546
81,13,21,"[([402.0, 377.0], [453.0, 490.0]), ([427.0, 368.0], [494.0, 470.0]), ([139.0, 407.0], [243.0, 576.0]), ([17.0, 467.0], [172.0, 712.0]), ([510.0, 391.0], [563.0, 504.0]), ([563.0, 343.0], [612.0, 497.0]), ([637.0, 331.0], [690.0, 417.0])]",0.6059515981572264
82,95,21,"[([512.0, 384.0], [566.0, 504.0]), ([557.0, 377.0], [607.0, 491.0]), ([449.0, 378.0], [492.0, 470.0]), ([383.0, 382.0], [443.0, 492.0]), ([138.0, 417.0], [235.0, 546.0]), ([15.0, 484.0], [185.0, 707.0]), ([633.0, 356.0], [674.0, 424.0]), ([680.0, 354.0], [713.0, 416.0]), ([719.0, 353.0], [756.0, 420.0])]",0.5847965424647575
83,186,21,"[([28.0, 504.0], [171.0, 709.0]), ([139.0, 423.0], [227.0, 566.0]), ([390.0, 387.0], [444.0, 486.0]), ([513.0, 400.0], [566.0, 504.0]), ([630.0, 361.0], [683.0, 412.0])]",0.5522407426565659
84,1,21,"[([17.0, 489.0], [181.0, 713.0]), ([130.0, 406.0], [234.0, 577.0]), ([500.0, 384.0], [565.0, 518.0]), ([378.0, 368.0], [459.0, 502.0])]",0.49741606378483316
85,14,21,"[([507.0, 403.0], [578.0, 508.0]), ([644.0, 357.0], [694.0, 446.0]), ([577.0, 389.0], [617.0, 486.0]), ([378.0, 397.0], [439.0, 502.0]), ([449.0, 372.0], [492.0, 460.0]), ([38.0, 506.0], [186.0, 696.0]), ([148.0, 400.0], [267.0, 537.0])]",0.5478849478369842
86,21,21,"[([259.0, 282.0], [280.0, 300.0]), ([376.0, 287.0], [391.0, 301.0])]",0.5126646934504498
87,169,21,"[([139.0, 413.0], [234.0, 564.0]), ([7.0, 449.0], [51.0, 524.0]), ([23.0, 483.0], [178.0, 721.0]), ([380.0, 377.0], [446.0, 501.0]), ([444.0, 371.0], [499.0, 486.0]), ([506.0, 393.0], [548.0, 501.0]), ([560.0, 381.0], [609.0, 491.0]), ([635.0, 355.0], [677.0, 423.0]), ([677.0, 348.0], [721.0, 413.0]), ([259.0, 282.0], [281.0, 304.0])]",0.6179430262964376
88,106,21,"[([367.0, 190.0], [497.0, 513.0]), ([519.0, 215.0], [618.0, 474.0])]",1.0026363290338964
89,119,21,"[([39.0, 495.0], [172.0, 702.0]), ([153.0, 423.0], [227.0, 559.0]), ([394.0, 390.0], [435.0, 495.0]), ([451.0, 383.0], [499.0, 466.0]), ([513.0, 392.0], [549.0, 497.0]), ([563.0, 378.0], [611.0, 487.0]), ([642.0, 349.0], [668.0, 430.0]), ([692.0, 354.0], [713.0, 416.0]), ([261.0, 280.0], [273.0, 309.0]), ([374.0, 284.0], [396.0, 302.0]), ([728.0, 349.0], [755.0, 402.0]), ([700.0, 348.0], [723.0, 402.0])]",0.5802348508775151
90,75,13,"[([636.0, 120.0], [690.0, 217.0]), ([731.0, 159.0], [786.0, 261.0]), ([817.0, 153.0], [861.0, 242.0]), ([889.0, 128.0], [961.0, 239.0]), ([450.0, 136.0], [508.0, 236.0]), ([347.0, 153.0], [421.0, 252.0]), ([257.0, 121.0], [333.0, 245.0]), ([128.0, 144.0], [235.0, 309.0])]",0.8784597123563082
91,6,13,"[([112.0, 148.0], [238.0, 566.0]), ([233.0, 117.0], [349.0, 554.0]), ([341.0, 121.0], [427.0, 529.0]), ([438.0, 113.0], [517.0, 539.0]), ([626.0, 120.0], [711.0, 535.0]), ([724.0, 138.0], [805.0, 572.0]), ([812.0, 155.0], [893.0, 539.0]), ([884.0, 124.0], [1024.0, 585.0])]",0.623214965839187
92,181,13,"[([872.0, 129.0], [1021.0, 604.0]), ([794.0, 155.0], [911.0, 554.0]), ([700.0, 161.0], [818.0, 556.0]), ([598.0, 119.0], [733.0, 555.0])]",0.5474169247923779
93,189,13,"[([116.0, 146.0], [242.0, 555.0]), ([225.0, 130.0], [362.0, 578.0]), ([339.0, 150.0], [443.0, 537.0]), ([433.0, 144.0], [528.0, 535.0]), ([610.0, 128.0], [716.0, 545.0]), ([714.0, 158.0], [816.0, 557.0]), ([804.0, 148.0], [891.0, 545.0]), ([872.0, 134.0], [1024.0, 594.0])]",0.5517468237416985
94,142,13,"[([84.0, 145.0], [256.0, 557.0]), ([228.0, 118.0], [386.0, 583.0]), ([324.0, 145.0], [448.0, 557.0]), ([419.0, 150.0], [523.0, 552.0]), ([580.0, 124.0], [721.0, 550.0]), ([694.0, 159.0], [818.0, 557.0]), ([775.0, 143.0], [892.0, 567.0]), ([846.0, 105.0], [1018.0, 589.0])]",0.5714974699449229
95,158,13,"[([866.0, 137.0], [1022.0, 593.0]), ([729.0, 124.0], [896.0, 548.0]), ([693.0, 154.0], [830.0, 551.0]), ([574.0, 111.0], [721.0, 544.0]), ([103.0, 146.0], [246.0, 562.0]), ([229.0, 126.0], [386.0, 574.0]), ([314.0, 145.0], [458.0, 533.0]), ([433.0, 130.0], [539.0, 533.0])]",0.5638039808613219
96,59,13,"[([108.0, 149.0], [238.0, 552.0]), ([225.0, 126.0], [378.0, 580.0]), ([303.0, 156.0], [440.0, 538.0]), ([429.0, 144.0], [552.0, 538.0]), ([602.0, 127.0], [726.0, 549.0]), ([689.0, 159.0], [826.0, 552.0]), ([795.0, 156.0], [888.0, 543.0]), ([866.0, 123.0], [1024.0, 603.0])]",0.5534200030582667
97,102,13,"[([113.0, 145.0], [235.0, 565.0]), ([223.0, 136.0], [376.0, 575.0]), ([321.0, 153.0], [442.0, 531.0]), ([431.0, 151.0], [521.0, 534.0]), ([604.0, 130.0], [705.0, 543.0]), ([716.0, 168.0], [815.0, 549.0]), ([806.0, 158.0], [893.0, 549.0]), ([884.0, 119.0], [1024.0, 589.0])]",0.5110162097295977
99,134,73,"[([0.0, 184.0], [689.0, 1009.0])]",0.6381827770460478
100,189,73,"[([0.0, 185.0], [622.0, 1024.0])]",0.5517468237416985
101,185,73,"[([0.0, 156.0], [640.0, 1024.0])]",0.5228840877862566
102,169,73,"[([1.0, 179.0], [642.0, 1024.0])]",0.6179430262964376
103,140,73,"[([16.0, 196.0], [618.0, 1018.0])]",0.3752121505693961
104,49,73,"[([42.0, 69.0], [782.0, 1024.0])]",0.7787123497835211
105,181,73,"[([8.0, 168.0], [624.0, 1024.0])]",0.5474169247923779
106,123,73,"[([0.0, 174.0], [632.0, 1024.0])]",0.35775340551557894
107,195,73,"[([1.0, 182.0], [604.0, 805.0])]",0.6895692758057163
108,134,84,"[([383.0, 400.0], [708.0, 768.0]), ([94.0, 0.0], [569.0, 724.0])]",0.6381827770460478
109,6,84,"[([154.0, 0.0], [479.0, 756.0])]",0.623214965839187
110,181,84,"[([130.0, 0.0], [452.0, 763.0])]",0.5474169247923779
111,102,84,"[([144.0, 2.0], [472.0, 714.0])]",0.5110162097295977
112,189,84,"[([135.0, 0.0], [491.0, 724.0])]",0.5517468237416985
