topic_item,gold
25,"[ 162 1017 1024 1034  147  895   12  221 1120  128  899   82  883 1130
  168  157  580  232  812  897  620  479  896  475  890  725  901  474
  480  884  534  473  149  478  946 1059  482  817  211  148  891  881
  894  681  778  171  886  898 1057  181]"
26,"[ 336  153  727  176  879  592  315  714 1014  467  756  107  566  186
  217 1115  293  511  813  124  789  126  210 1016  419  275 1147  658
  814  875  853  464  746  457  209  414  690  608  596  578    3  196
 1167 1197  557  133  885  563 1013 1107]"
27,"[1035  309   51  663  323  469  665  702  827  710  703  340  776   88
 1155  964   37   69  322  740  317  304  459  115  743  660  957   54
  662  447  251  530  185  528  463 1060   96  623  602 1112  531  956
  349  959 1100  532  512   62 1072  871]"
28,"[ 246  369  545  724 1144  454  453  237 1041 1018  833  135  345 1135
   80  367  163  370  261  207  160  766  465  820  476  707  139  870
  909  983  784  981  319 1058  329  769  765  170  767   61  381  342
  768  960  711  832 1102  937  330  574]"
29,"[ 507  716 1026   28  782  112  357 1066  114  848  846  203  888  137
  713 1122  729 1092  780  941 1061  717  353  704  508  433  801  450
 1009  718  839 1019 1089  208  722  805 1062 1137  947  201  720  719
  889  699 1121  654  721 1172  446 1036]"
30,"[  71  393  998  752   24  111  925  395  642  288  587  526  878  551
  757  689  984  604    8  605  432 1045  524  500  360   25  359  494
  591  919  849  204  525  206  774  569  595   40  621  804  108 1086
 1006  803  388 1119   87  110   68  598]"
31,"[ 228 1093  487  154  113 1023  263  644  639  880 1138  220  389  581
 1111  197 1029  344   17  445  405    2  536  542   23  861  173  783
 1139  948  991   78   20   83  213  701  129  624  952  343   18  219
  734  412  277 1117  939  855  174  728]"
32,"[ 522  401 1104  308  337  187  539  202   14  985  698  152  140   90
 1105  312   57  615  199  142   21  223  613 1195  327  486   58   10
  933  502  164  141  200  190   59  423  614   74  705  597 1049  697
  552  122  612 1156   46  184  815  493]"
33,"[ 637  968  386  816  373 1012  706  840  838  590  294   60  651  754
  936  951 1090 1053  687 1128 1075  688   66  358  377  593  394  518
   72 1028  800  750  341  845  274  760  755  138  923  781  932  338
  548   67  101  694  404  313  902 1068]"
34,"[ 718  782  888 1036  208  353  719  780 1089  446 1062  947  357  729
  805 1121  717  699  722  839 1122  433  721  848 1019 1026  201  941
  801  137  114 1066  203   28 1061  713  450  716 1172  507  112 1137
  846  720  508 1009  704  889 1092  654]"
35,"[ 972  930 1106  216  657  103 1073  666  753   19  403  859 1074 1187
  927 1198  324 1199  671  194  439  670  546 1190  970  146  316  856
 1040 1001  928  661  266  974  808  402  887  265  975  407  683  973
  969  488  971 1003  739  962  854  931]"
36,"[ 758  904  437 1101 1021  770  669  873  481  761  990  876  505  828
  436  741  397  416  523  258  737  189  825  506  824  398   55  905
 1178  285  601  410  603 1157  504  496  865 1118  914  874  709   27
  497  823  415  282  514  295  906  631]"
37,"[ 280 1196  535 1176  841 1096  940   76  491  643  630 1164  963  938
 1173  418 1166  509  409  798  254 1174 1193  762  993 1091  772  452
 1180 1113 1194  955  818 1171  143   22  609  929 1129  764   89  427
  284  247 1192  806  916  992  994  179]"
38,"[ 682  501  272   36  234  635   93 1030 1177  810  844  908  554  256
   31  935  426  599 1025  997 1047 1136 1168  676  634  538  626  348
  461  961  544  773  231  151 1116   73   38  775 1131  600  485  471
  831  430 1008  680  685 1011  918  821]"
39,"[  63   49  763  791   99  610  790   77  318  858  503  811  417  686
   32  617 1114  863  283  793  311  726  785   13   70  549 1161  611
  618   41   64 1134  346  515  926  668   53  616   85   48  385  428
  550  864  653  794   16  795  390  425]"
40,"[ 687  341  902  518  637  274  760 1012 1128  548  923  750  138  590
  816  593  968 1090  338  838 1075  755  800  932   60  377 1053   67
  404  754  840   72  358  651  688  781 1028  394  313  386   66  373
  706  101  845 1068  936  294  951  694]"
41,"[ 280  491  284  938  929  609  993   76  818   89  916  630  418  247
 1096  409  798 1193 1196  772 1194 1176  535 1174 1192 1173  179  994
 1113  955 1171  940  806  143  509  841  254 1180 1091  452  643  427
   22  762  992  963 1166 1129 1164  764]"
42,"[ 182   30 1188 1087   56  451  368   75  520  915  636  819  306  999
  387  362 1054  191   79 1186  102  212   29  527  456  749  979  986
  145  399  180 1048  693  289  169  748 1189  847  945 1042  455  862
  257  193  619  594  529 1064 1015  290]"
43,"[ 845  688   67  755  840  923 1128  754  932  313  101  838  902  706
  750  386  404  951  816  548  687  781  394 1090  373  590  800  936
 1012 1068  518  651  377   72 1028  138  968  341   60  760  274  338
  358 1053  694   66  294  593  637 1075]"
44,"[ 409 1091  994 1164 1171 1113 1129  280  993  609  452  630  762  179
  963  509  643  992  806 1173  938 1166  916  841 1096  247  764  491
 1180  955  940  427  535   76 1176  798  418 1193  772  929 1174 1192
   89 1194 1196   22  818  143  254  284]"
45,"[ 833 1018  207 1058  453  139  170  345  160  246  261  711  476  767
  454 1041  342  784   61  330  369  983  820  135  370  707  367  329
   80  319  237  937 1102  870  769  163  766  574  381 1144 1135  465
  545  768  960  765  981  832  724  909]"
46,"[  73 1116  908  844  231  234  272  773  600   93  151 1030 1136  810
  961  554 1011 1131  461  634 1047 1025  599   31  682  538  821  544
  256   36  831  635  997  430  775 1177 1008   38  626  676  426  918
 1168  935  471  501  680  685  348  485]"
47,"[ 700  796  150 1043  120 1056  966  352  589  628  130   26  339  788
  281   98  965 1145  328  332  967  400  677  167 1160 1037  431  922
 1055  495 1039  224 1010  230  121 1126  672  449 1002   35  987   97
  989  347 1038  498 1050  225    0  877]"
48,"[ 559  276  667   34  472  127  541    1  830  492  271 1185  799  561
  575  949  244  302  125  638  543   47  540  872  361  214  579  510
  406  911  229  797  245  547  260  633  165  392  383  555  558  562
  233  910  625  490  396  882  177  424]"
49,"[1005 1109  384 1063  413  301 1184  903   81  215  448   15  829  166
   84  136  893  995  632  462  192  779  175  420  172   45  470  458
  198  218  466    6    4 1007  695  777  553  738  659  954  158  411
 1046  900  366  106  731  421    5  850]"
50,"[1050  347  121  628  449  498  589    0   26 1037  400   98  339  877
  230 1038  495 1126  989  332 1039  431  965  922  796 1002  987 1145
 1055  967 1010  150  130  224  352   97  120 1043 1160  677 1056  281
  700  966   35  788  328  167  672  225]"
51,"[ 352 1038  167  589  281   35 1039  788  628  449  989  230  967 1055
  121  225   98    0  347 1056 1002 1145  672 1050  965  224  796 1043
  966 1160 1010  332  495  987  339  498 1126 1037  400   26  150  677
  700  922   97  120  130  431  328  877]"
52,"[  95  268  733  131  183  195  422  843 1108  270  679  364  296  132
  978  144 1191  730  912  744 1033  222  391  105  732   91  351   43
  537  161  305  747  857  100  298  300  735  104  924  920  468  771
   94  742  489  477  627   39  325  712]"
53,"[  98 1043  120  700    0  495  121  224  400 1056  498 1050  339  628
  449 1010  130  966  431 1037 1126 1160  987  328  989  225  677  967
  150  965  877 1038  796  281 1039  672   26  332   97  167  352 1145
 1055 1002  589   35  230  788  347  922]"
54,"[ 621  393  595   71  803  604   24   68  605  591  388 1086   40  360
  925  500  432  494  752  849  395 1006  998  206  569  598  919  689
 1045  757  108  204  525    8  774  359  551  878  984  526  110 1119
  587   87  642  111  524   25  288  804]"
55,"[1121  721  941 1172  719  839  782  780  508 1062  720  450  889  717
  203 1122  718 1089 1066 1092  201  699  507  433  801 1019   28  729
  848 1026  947  805  846  114 1137  654  446  704  208  888  722  357
 1061  713 1036  716  353 1009  112  137]"
56,"[1180  762  938  764  280 1193 1166   76 1192  509  940  992  535  955
  179 1194  630   89 1113  798  409  806 1096  841  143 1173  929 1171
  993  916  247 1196 1176  963 1091  284  254  427  643 1129 1164  609
 1174  452  418  772  491  994  818   22]"
57,"[ 292  573  570  264  243  321  291  934  303  155  516  567  519  333
  648  568 1022  649  577    9  586  560  565  921  571  745  517  513
  576  650  652  869  868  354  310  273  664  583  684  521  335  907
  299  656  647 1165  588  572  117  356]"
58,"[ 216  407 1074  753  670 1198 1190 1106  970  972  661  974  969  316
  324  194  739  488  671  856 1001  402 1003  962 1199  975  859  266
   19 1073  887  808  854  403  265 1187  546  973  146  683  930  927
  931  657  928  666 1040  439  103  971]"
59,"[ 835  350 1150 1163 1159  156 1151  564   33 1169   52  408  715  374
 1142  646 1095 1181  314  159  852 1152  259 1099 1094  988  363  556
  307  675  262   50 1143 1098 1153 1051  958  267 1146  334 1183 1154
 1149  242  837 1148 1162  278 1182  842]"
60,"[ 665  827  623  528  532  660   37   62 1060 1072   69   96  740  956
  349  463 1100  251   51   88   54  871  602  340  459 1155  530  662
 1035  964 1112  469  317  743  512  304  663  115  776  957  323  185
  703  447  959  531  710  309  702  322]"
61,"[ 357  729 1092 1122   28 1019 1036  353  848  507 1066  780  839  718
 1121  201 1137 1062  782  137  450  716  846  947 1172  508  721  719
  704  654  717 1061  208  889  941  805  433 1026  112  446 1009  720
  713 1089  114  699  888  203  722  801]"
62,"[   3  464  153 1016  293  511  592  210 1197  176 1013  727  467  714
  209  756 1107  414  457  608  875  814 1167  186  196  853  336  789
  315  658  813 1115  217 1014  126  885  563  275  746  566  557  107
  879  596  690 1147  578  133  124  419]"
63,"[ 580  162  881  473  232  128  147  817   12  171  482  534  211  886
  812  725 1130  478 1057  884  899  896  148  479  620   82  898  474
  149  891 1017  890  168  181  901  157  895  883  894  778  221  897
  681 1024 1059 1034  475  480 1120  946]"
64,"[ 780  716 1066  718 1061  507  713  353  357  888  720  450  137  446
  848  201 1137  717  721 1026 1172  433   28  508  112  805  839 1122
 1089  654  114  203 1009 1092 1121  719 1036  699  704  846  729 1062
  208  782 1019  947  941  722  801  889]"
65,"[ 197   83  624 1138  783  213 1139  952  581  219  412  644  734  639
  263 1093  277 1117  939  343  991    2  154   18  389 1023  344  445
  701   20  948  855  405 1111 1029  220  129   23  880  861  113  728
  542  536  228  487  174   78   17  173]"
66,"[ 225    0 1038  495   35  498  130 1039  347  120 1160 1126  328   26
  967 1010 1043  672   97  150 1050  796  788  339  224  965  431  121
  352  230  628  966  700  989 1055 1002  167 1056  877  922 1145   98
  400  281 1037  332  987  449  589  677]"
67,"[ 330  769  160  367  707 1058  545  465  370 1018  369  784  983  246
  163   61  237 1041  135  476  870  711  170  981  454  765  766  832
  574  139   80  207  329  453 1144  833  820  724  960  937  319 1102
  381 1135  345  767  342  768  909  261]"
68,"[ 537  978  105  296  422  489  298  351  732  733  920  132  222   94
  305  300  100 1033  712   91  679  477  104  735  843  270  268  912
   95  364  391 1108  924  771  161  627  195  747  857 1191  325  730
   39  742   43  144  131  468  183  744]"
69,"[ 249  297 1027 1071 1125  440  252  582  250  255 1127  980  438  253
  205 1084  435  248 1085  696  326 1082    7  441   11  792 1080 1070
  434 1083 1081  892  109 1079  977  442  355 1078 1077  443 1179 1031
  807 1069  118 1000 1032 1076  976  444]"
70,"[ 697  141  552  612  184  199  933  486  615  122  423 1105   46  202
  502  705  539  140  401 1104   58  597 1049  164   57   14  985  327
  337  223   10   74  698  142   21  815  200   90  614 1156  522  613
  187  493   59  190 1195  308  152  312]"
71,"[1106  930  739  407  488  403  971  666  931   19  973  316  974 1199
  657  808  856 1073  683  671  146  753  972  103  928  969 1187 1040
  975 1190  439 1003  661  216  887 1198  194  265 1074  402 1001  962
  970  546  266  927  324  854  670  859]"
72,"[  96  957   51  662  309  322  512 1100 1060  710  532  185  623  340
  743   88 1072   69 1035  115   37  530 1112  349  964  665  740  469
  959  663   54  702  304  827 1155  660  956  528  447  317  463  323
  531  703  251   62  602  459  871  776]"
73,"[ 736  123  943  996  942  867 1123 1140 1175 1088 1132  692  178 1124
  866 1103  802  751  708   65 1110  331  917  226 1004  484  134  759
 1133  851  809  533 1044  640  836  645  227  787 1067  499  822  944
  460  116   42  678  691  723 1170  622]"
74,"[ 936  754 1128  651  687  590  932   66   72 1090  358 1075 1053  706
   67   60  101  923 1068 1028  968  338  951  593  404  840  750  394
  688  341  755  518  694  902  294  274  637  377  816  373  800  138
  781  838  845 1012  313  386  760  548]"
75,"[1103  917 1175   42  460  678  751  809  691 1044  708 1110  533  499
 1004 1132  822 1170  134 1124  178  836  226  692  942  484 1140  723
  123 1133  802  866  331  996 1067  943  787  227 1123 1088  622  640
  944  645   65  867  759  736  851  116]"
76,"[1150  715  675  159  556 1153 1098  363  242  852  314 1143 1163 1095
  278  835  262  837 1169 1099 1142 1159 1146  374  350 1182 1181  259
  646 1154  156 1094  334 1051  408   50  267 1162  307  958   33 1149
 1151  564 1183 1152  988  842   52 1148]"
77,"[ 305  712  747  771 1033  422  222  679  627  183   39  742  843  733
  132 1108  144  730  489   94  296  195  300   95  920  298   91  131
  351  857  325  161  391  100  912 1191  104  270  978  364  735  468
   43  268  744  105  537  732  924  477]"
78,"[ 206  388  757  595  288 1119 1045  998  432   68  525  494  925  108
   24  591   40  587   71  621  605  774  359  360  524  689  804  984
  803  919  526  395  111  569  500  752  204 1086  604 1006  642  849
    8   25  878  393  551  110  598   87]"
79,"[ 457  885  658  126  275  756  186  814  578  746 1013  124  592  107
  133 1167 1014  566  727  789  464  414  511  879  419  315  714  563
  875 1147 1107  217 1016  813  596  467  336  690  209  557  210 1197
  293  196  608  853 1115  153    3  176]"
80,"[ 305  679  131  104  298  132  105   39  268 1108  100  627   43  161
   91  857  296  422   94  489  325  730  771   95  300  978  144  270
  712 1191  744  195  742  364  468  351  391  183  843  924  920  733
  537  477  222  735  732  747 1033  912]"
81,"[ 340  349  662  115  532  964   62  317 1155  530  459  322   69  512
  663   51   54  185  956  660  528   37  957  871  309   88  703  959
  827 1035  463 1072 1112  531  743  710   96  740 1060  304  469  447
  323  776  665  602 1100  702  251  623]"
82,"[ 822 1133   65 1103 1123  116  866  331  802  942  809  943 1132  944
  227  499  678  867 1004  622  751  134  917  226   42 1175  691 1170
  723  996  836  533  851  736 1110  484  460  123 1088 1044 1140  178
  787  708 1067  759 1124  640  645  692]"
83,"[ 945  520  451  986   75  180  999  290   56 1087 1186  289  979  529
  862  619  748 1188 1015  527 1048  169  387  455  456  594  693  749
  257  915  847  636 1064  145  102  368   79  819 1042  399 1189  193
  182   30  191   29  362  212  306 1054]"
84,"[  51  959   62  251   37   54  185  323  469  964  660 1060  512  662
  463  322  532  528 1072  115  447   88  663  776  710  623  956  602
  740   96  957  304  317  459  530 1100  703 1155  531 1035   69  309
  665 1112  702  871  349  827  743  340]"
85,"[ 850  954   15  218  553  458    6  903  413 1046  384  136  995  301
  166  420  893  470  448  900    5  421 1109  366  175  659  158  779
  738   45  829  411   84  106  462  466  198  215 1007  731    4  192
  632 1005 1184 1063  695   81  777  172]"
86,"[ 542  536  701  624 1111  220   83 1117  389 1023  880  734  948  263
  412  344  277   17  173  405  445  783  581  487   20  644 1138  219
  113  991 1029  855 1093   78  228  213   23  728  343  197  952  639
  129 1139  939    2   18  174  154  861]"
87,"[ 395  591  206  525  595  878   40  849  605  774  393   24  642   68
  551  494  621 1045  752  984  110   25   87 1119  360  526  998   71
  598  524  388  500  359  432  111  108  204  804  587  689  604  919
  925  757 1006 1086  288    8  569  803]"
88,"[ 904  709  737  770  410  823  285  906 1178   27  758  990  436  876
 1101  481  873  295  761  514  505  506  397  437  504  825 1118  603
  874  398  631  496  669  258  824  905  865  523  914  416  415 1157
  497   55  741  601  189 1021  828  282]"
89,"[ 684  333  934  907  572  571  117  577 1165  745  586  292  321    9
  516  335  273  652  656  567  521  570  356  513  303  664  565  517
  650  568  921  560  291  310  243  583  354 1022  647  576  648  264
  573  649  155  868  519  588  299  869]"
90,"[ 703  512   54  531  349  447  957  959  304   88 1100  322 1060  251
  317 1155  459  665 1112  323  662   37  776  871   69  956  185  532
  663 1072  602  740  340  623  702  827  528   96   62  469  309  463
  660  115  964 1035  710   51  743  530]"
91,"[ 281  449  788 1043  989  628  967  347 1039 1145  877  796  589 1126
  120  987  121  672  328 1002   26  339  225  700  677  224  400  150
  332 1056  352 1160  965 1050   98 1010  495  498  966  922  230 1055
   35 1037   97    0 1038  431  130  167]"
92,"[1173  427  280 1196 1164  772   22  993 1176 1113  179  963  491  143
  247  798  762  994  284  509  992 1129 1193  418  254  806  955 1171
  916  818   76  940 1180  929 1096 1166  938  630  643  452   89  535
  841  609  764  409 1192 1194 1091 1174]"
93,"[ 866 1110  134 1067  723  759  460  751  331  942 1132  178 1175   42
  917  836 1123  787 1170  622  116  640   65  822 1004  123  943  809
  484  533  867  802 1044  691 1133  692  944  996  851  678 1140 1124
  645  736 1088 1103  226  499  227  708]"
94,"[ 288  774  110  689  598  591  360  757  998 1086  204  524  108  500
  525  388  605  569  752  621   25   87 1045  393  642   40  595  432
  494  206   71  587 1119  849  395  919  111  526 1006  804  604  878
   68   24  984  803    8  359  551  925]"
95,"[ 852 1148  334  307  715   33  837  350  156  262 1154 1182 1181  259
 1099  159  835 1098 1149 1094 1163 1146  988 1159  374  556 1169  646
 1150 1143 1151 1142  267 1095 1152  958 1153 1183  842   52  314  408
  278   50  564  242 1162  363 1051  675]"
96,"[  28  729 1009 1137  654 1121  704  947  720  722  780  839  713  889
  716  721 1122  805  718  208 1026 1036  888  137 1062  507  112 1066
 1019  508  801  782  719  114  433  717  450  848  203  353  941 1092
  201  446 1061  357 1089  699  846 1172]"
97,"[ 497  601  874   27  825  504  823 1157  770  437  824 1101  523  295
  905  737  873  415  631  914  496  398  603 1118  741  258  410  189
  416  282 1021  758  514  709  904  828  865 1178  285  906  990  669
   55  761  436  876  397  481  506  505]"
98,"[ 550  863  515  726   63  616  390   16  791 1161  283  618  653  428
  617  417  549  790  503   32  346   48  793   99  668  811   85   13
  425  611   41   53  385  795  858  610  926  864 1114  763  785  794
   77   70   64  686   49  311 1134  318]"
99,"[ 177  245  558 1185  233  396  562  547  541  244  561  127  214  555
  472  276  406  361  492  383  667  575  125  799  260  579  559  797
  490  949  872  540  633  910  271  229    1   34   47  638  165  424
  510  830  882  302  392  911  543  625]"
