,uid,sentence,sentenceId,parse
10,0,I put in new batteries so as to be certain I'd have plenty of power and on my way out walked over to the regular parking stalls and stood looking at them thoughtfully .,41,"(S1
  (S
    (NP (PRP I))
    (VP
      (VP
        (VBD put)
        (PP (IN in) (NP (JJ new) (NNS batteries)))
        (ADVP (RB so) (RB as))
        (S
          (VP
            (TO to)
            (VP
              (VB be)
              (ADJP
                (JJ certain)
                (SBAR
                  (S
                    (NP (NNP I'd))
                    (VP
                      (VP
                        (VBP have)
                        (NP
                          (NP (NN plenty))
                          (PP (IN of) (NP (NN power)))))
                      (CC and)
                      (VP
                        (PP (IN on) (NP (PRP$ my) (NN way) (IN out)))
                        (VBD walked)
                        (PRT (RP over))
                        (PP
                          (TO to)
                          (NP
                            (DT the)
                            (JJ regular)
                            (NN parking)
                            (NNS stalls))))))))))))
      (CC and)
      (VP
        (VBD stood)
        (VP
          (VBG looking)
          (PP (IN at) (NP (PRP them)))
          (ADVP (RB thoughtfully)))))
    (. .)))"
11,0,The fact that he nowhere mentioned theatrical performances as part of the activities of the boys later in his hypothetical academy ( 1644 ) should not be taken too seriously as evidence that he desired them to eschew such performances .,20,"(S1
  (S
    (NP
      (DT The)
      (NN fact)
      (SBAR
        (IN that)
        (S
          (NP (PRP he))
          (VP
            (ADVP (RB nowhere))
            (VBD mentioned)
            (NP (JJ theatrical) (NNS performances))
            (PP
              (IN as)
              (NP
                (NP (NN part))
                (PP
                  (IN of)
                  (NP
                    (NP (DT the) (NNS activities))
                    (PP
                      (IN of)
                      (NP
                        (NP (DT the) (NNS boys))
                        (ADVP
                          (RB later)
                          (PP
                            (IN in)
                            (NP
                              (NP
                                (PRP$ his)
                                (JJ hypothetical)
                                (NN academy))
                              (PRN
                                (-LRB- -LRB-)
                                (NP (CD 1644))
                                (-RRB- -RRB-)))))))))))))))
    (VP
      (MD should)
      (RB not)
      (VP
        (VB be)
        (VP
          (VBN taken)
          (ADVP (RB too) (RB seriously))
          (PP
            (IN as)
            (NP
              (NN evidence)
              (SBAR
                (IN that)
                (S
                  (NP (PRP he))
                  (VP
                    (VBD desired)
                    (NP (PRP them))
                    (S
                      (VP
                        (TO to)
                        (VP
                          (VB eschew)
                          (NP (JJ such) (NNS performances)))))))))))))
    (. .)))"
12,0,"Next , because of the time differential , the conferences come on the networks during the middle of the day .",34,"(S1
  (S
    (ADVP (JJ Next))
    (, ,)
    (PP
      (IN because)
      (PP (IN of) (NP (DT the) (NN time) (NN differential))))
    (, ,)
    (NP (DT the) (NNS conferences))
    (VP
      (VBP come)
      (PP (IN on) (NP (DT the) (NNS networks)))
      (PP
        (IN during)
        (NP
          (NP (DT the) (NN middle))
          (PP (IN of) (NP (DT the) (NN day))))))
    (. .)))"
13,0,Will argument and debate decide its truth or falsity ? ?,30,"(S1
  (SQ
    (SQ
      (MD Will)
      (NP (NN argument) (CC and) (NN debate))
      (VP
        (VB decide)
        (NP (PRP$ its) (NN truth) (CC or) (NN falsity)))
      (. ?))
    (. ?)))"
14,0,"Among my school and neighborhood friends , during the next months , I bragged and swaggered and pompously described my impending date .",14,"(S1
  (S
    (PP
      (IN Among)
      (NP
        (PRP$ my)
        (NN school)
        (CC and)
        (NN neighborhood)
        (NNS friends)))
    (, ,)
    (PP (IN during) (NP (DT the) (JJ next) (NNS months)))
    (, ,)
    (NP (PRP I))
    (VP
      (VP (VBD bragged) (CC and) (VBD swaggered))
      (CC and)
      (VP
        (ADVP (RB pompously))
        (VBD described)
        (NP (PRP$ my) (VBG impending) (NN date))))
    (. .)))"
15,0,"He could produce carefully constructed orations , set and formal speeches , artfully and prayerfully made by writing and rewriting with all the aid his tutor and others could provide , and then delivered verbatim from memory .",99,"(S1
  (S
    (NP (PRP He))
    (VP
      (MD could)
      (VP
        (VB produce)
        (NP
          (NP (ADJP (RB carefully) (VBN constructed)) (NNS orations))
          (, ,)
          (NP (NN set))
          (CC and)
          (NP
            (NP (JJ formal) (NNS speeches))
            (, ,)
            (VP
              (ADVP (RB artfully) (CC and) (RB prayerfully))
              (VBN made)
              (PP
                (IN by)
                (S
                  (VP
                    (VBG writing)
                    (CC and)
                    (VBG rewriting)
                    (PP
                      (IN with)
                      (NP
                        (NP (PDT all) (DT the) (NN aid))
                        (SBAR
                          (S
                            (NP
                              (PRP$ his)
                              (NN tutor)
                              (CC and)
                              (NNS others))
                            (VP (MD could) (VP (VB provide)))))))
                    (, ,)
                    (CC and)
                    (ADVP (RB then))
                    (VP
                      (VBN delivered)
                      (ADVP
                        (RB verbatim)
                        (PP (IN from) (NP (NN memory)))))))))))))
    (. .)))"
16,0,Haney felt a twinge of annoyance when he heard the now familiar line again .,42,"(S1
  (S
    (NP (NNP Haney))
    (VP
      (VBD felt)
      (NP (NP (DT a) (NN twinge)) (PP (IN of) (NP (FW annoyance))))
      (SBAR
        (WHADVP (WRB when))
        (S
          (NP (PRP he))
          (VP
            (VBD heard)
            (NP (DT the) (ADJP (RB now) (JJ familiar)) (NN line))
            (ADVP (RB again))))))
    (. .)))"
17,0,"It began invariably in low tones , almost conversational , and then gradually worked up to high , shrill appeals to God and man .",65,"(S1
  (S
    (NP (PRP It))
    (VP
      (VP
        (VBD began)
        (ADVP (RB invariably))
        (PP
          (IN in)
          (NP
            (NP (JJ low) (NNS tones))
            (, ,)
            (ADJP (RB almost) (JJ conversational))
            (, ,))))
      (CC and)
      (RB then)
      (VP
        (ADVP (RB gradually))
        (VBD worked)
        (ADVP (RB up))
        (PP
          (TO to)
          (NP
            (NP (NN high))
            (, ,)
            (NP
              (NP (JJ shrill) (NNS appeals))
              (PP (TO to) (NP (NNP God))))
            (CC and)
            (NP (NN man))))))
    (. .)))"
18,0,"These and other figures and comments have been reported in a special supplement of Sponsor magazine , a trade publication for radio and TV advertisers .",21,"(S1
  (S
    (NP
      (NP (ADJP (DT These) (CC and) (JJ other)) (NNS figures))
      (CC and)
      (NP (NNS comments)))
    (VP
      (VBP have)
      (VP
        (VBN been)
        (VP
          (VBN reported)
          (PP
            (IN in)
            (NP
              (NP (DT a) (JJ special) (NN supplement))
              (PP
                (IN of)
                (NP
                  (NP (NN Sponsor) (NN magazine))
                  (, ,)
                  (NP
                    (NP (DT a) (NN trade) (NN publication))
                    (PP
                      (IN for)
                      (NP
                        (NN radio)
                        (CC and)
                        (NN TV)
                        (NNS advertisers)))))))))))
    (. .)))"
19,0,"He was no longer able to relax in the presence of his parents and found it difficult to keep up a conversation with his mother or father , no matter the subject .",75,"(S1
  (S
    (NP (PRP He))
    (VP
      (VP
        (VBD was)
        (ADVP (RB no) (RB longer))
        (ADJP
          (JJ able)
          (S
            (VP
              (TO to)
              (VP
                (VB relax)
                (PRT (RP in))
                (NP
                  (NP (DT the) (NN presence))
                  (PP (IN of) (NP (PRP$ his) (NNS parents)))))))))
      (CC and)
      (VP
        (VBD found)
        (S
          (NP (PRP it))
          (ADJP
            (JJ difficult)
            (S
              (VP
                (TO to)
                (VP
                  (VB keep)
                  (PRT (RP up))
                  (NP
                    (NP (DT a) (NN conversation))
                    (PP
                      (IN with)
                      (NP (PRP$ his) (NN mother) (CC or) (NN father))))
                  (, ,)
                  (S
                    (NP (DT no) (NN matter))
                    (NP (DT the) (NN subject))))))))))
    (. .)))"
0,1,The table shows that 0.6 of the boys and 0.6 of the girls vote for picture A .,95,"(S1
  (S
    (NP (DT The) (NN table))
    (VP
      (VBZ shows)
      (SBAR
        (IN that)
        (S
          (NP
            (NP (NP (CD 0.6)) (PP (IN of) (NP (DT the) (NNS boys))))
            (CC and)
            (NP (NP (CD 0.6)) (PP (IN of) (NP (DT the) (NNS girls)))))
          (VP (VBP vote) (PP (IN for) (NP (NN picture) (NN A)))))))
    (. .)))"
1,1,even marriage and the family was seen as a contractual arrangement .,54,"(S1
  (S
    (NP
      (NP (RB even) (NN marriage))
      (CC and)
      (NP (DT the) (NN family)))
    (VP
      (VBD was)
      (VP
        (VBN seen)
        (PP (IN as) (NP (DT a) (JJ contractual) (NN arrangement)))))
    (. .)))"
2,1,"Police theorize that a combination of dope , drink and drugs killed her .",4,"(S1
  (S
    (NP (NNP Police))
    (VP
      (VBD theorize)
      (SBAR
        (IN that)
        (S
          (NP
            (NP (DT a) (NN combination))
            (PP
              (IN of)
              (NP (NN dope) (, ,) (NN drink) (CC and) (NNS drugs))))
          (VP (VBD killed) (NP (PRP her))))))
    (. .)))"
3,1,") Mrs. Arthur Goldberg , wife of the Secretary of Labor , paints professionally and helps sponsor the Associated Artists' Gallery in the District of Columbia .",48,"(S1
  (S
    (-RRB- -RRB-)
    (NP
      (NP (NNP Mrs.) (NNP Arthur) (NNP Goldberg))
      (, ,)
      (NP
        (NP (NN wife))
        (PP
          (IN of)
          (NP
            (DT the)
            (NML (NNP Secretary) (PP (IN of) (NP (NNP Labor)))))))
      (, ,))
    (VP
      (VP (NNS paints) (ADVP (RB professionally)))
      (CC and)
      (VP
        (VBZ helps)
        (VP
          (VB sponsor)
          (NP
            (NP
              (DT the)
              (NNP Associated)
              (NNP Artists')
              (NN Gallery))
            (PP
              (IN in)
              (NP
                (NP (DT the) (NNP District))
                (PP (IN of) (NP (NNP Columbia)))))))))
    (. .)))"
4,1,"After 1815 anti-slavery sentiment mounted , chiefly among Protestants and those of Protestant background of the older stock .",53,"(S1
  (SINV
    (SBAR
      (IN After)
      (S
        (NP (CD 1815) (JJ anti-slavery) (NN sentiment))
        (VP (VBD mounted))))
    (, ,)
    (PP
      (ADVP (RB chiefly))
      (IN among)
      (NP
        (NP (NNPS Protestants))
        (CC and)
        (NP
          (NP (DT those))
          (PP
            (IN of)
            (NP
              (NP (JJ Protestant) (NN background))
              (PP (IN of) (NP (DT the) (JJR older) (NN stock))))))))
    (. .)))"
5,1,One day he was visited by a delegation of would-be imitators who wanted to know his secret .,28,"(S1
  (S
    (NP (CD One) (NN day))
    (NP (PRP he))
    (VP
      (VBD was)
      (VP
        (VBN visited)
        (PP
          (IN by)
          (NP
            (NP (DT a) (NN delegation))
            (PP (IN of) (NP (JJ would-be) (NNS imitators)))
            (SBAR
              (WHNP (WP who))
              (S
                (VP
                  (VBD wanted)
                  (S
                    (VP
                      (TO to)
                      (VP (VB know) (NP (PRP$ his) (JJ secret))))))))))))
    (. .)))"
6,1,"She replied , `` I know of one man that has not been friendly with him .",7,"(S1
  (S
    (NP (PRP She))
    (VP
      (VBD replied)
      (, ,)
      (`` ``)
      (S
        (NP (PRP I))
        (VP
          (VBP know)
          (PP (IN of) (NP (CD one) (NN man)))
          (SBAR
            (WDT that)
            (S
              (VP
                (VBZ has)
                (RB not)
                (VP
                  (VBN been)
                  (ADJP (JJ friendly))
                  (PP (IN with) (NP (PRP him))))))))))
    (. .)))"
7,1,"These and other figures and comments have been reported in a special supplement of Sponsor magazine , a trade publication for radio and TV advertisers .",21,"(S1
  (S
    (NP
      (NP (DT These))
      (CC and)
      (NP (JJ other) (NNS figures) (CC and) (NNS comments)))
    (VP
      (VBP have)
      (VP
        (VBN been)
        (ADJP
          (VBN reported)
          (PP
            (IN in)
            (NP
              (NP (DT a) (JJ special) (NN supplement))
              (PP
                (IN of)
                (NP
                  (NP (NN Sponsor) (NN magazine))
                  (, ,)
                  (NP
                    (NP (DT a) (NN trade) (NN publication))
                    (PP
                      (IN for)
                      (NP
                        (NN radio)
                        (CC and)
                        (NN TV)
                        (NNS advertisers)))))))))))
    (. .)))"
8,1,It consists of two blocks with flat surfaces held apart by shims .,73,"(S1
  (S
    (NP (PRP It))
    (VP
      (VBZ consists)
      (PP
        (IN of)
        (NP
          (NP (CD two) (NNS blocks))
          (PP (IN with) (NP (JJ flat) (NNS surfaces)))
          (VP
            (VBN held)
            (ADVP (RB apart))
            (PP (IN by) (NP (NNS shims)))))))
    (. .)))"
9,1,"`` Mom '' Marr , as the more than 80 men at the center call her , is the link that helps to bridge the gulf between alcoholics and the outside world and between parolees and society .",88,"(S1
  (S
    (NP
      (NP (`` ``) (NN Mom) ('' '') (NNP Marr))
      (, ,)
      (SBAR
        (RB as)
        (S
          (NP
            (NP (DT the) (QP (RBR more) (IN than) (CD 80)) (NNS men))
            (PP (IN at) (NP (DT the) (NN center))))
          (VP (VB call) (NP (PRP her)))))
      (, ,))
    (VP
      (VBZ is)
      (NP
        (NP (DT the) (NN link))
        (SBAR
          (WHNP (WDT that))
          (S
            (VP
              (VBZ helps)
              (S
                (VP
                  (TO to)
                  (VP
                    (VB bridge)
                    (NP
                      (NP (DT the) (NN gulf))
                      (PP
                        (PP
                          (IN between)
                          (NP
                            (NP (NNS alcoholics))
                            (CC and)
                            (NP (DT the) (JJ outside) (NN world))))
                        (CC and)
                        (PP
                          (IN between)
                          (NP (NNS parolees) (CC and) (NN society)))))))))))))
    (. .)))"
10,1,"Kitti had come into the office , on somebody's recommendation , because she needed help in preparing her income tax return .",96,"(S1
  (S
    (NP (NNP Kitti))
    (VP
      (VBD had)
      (VP
        (VBN come)
        (PP (IN into) (NP (DT the) (NN office)))
        (, ,)
        (PP (IN on) (NP (JJ somebody's) (NN recommendation)))
        (, ,)
        (SBAR
          (IN because)
          (S
            (NP (PRP she))
            (VP
              (VBD needed)
              (NP (NN help))
              (PP
                (IN in)
                (S
                  (VP
                    (VBG preparing)
                    (NP (PRP$ her) (NN income) (NN tax))
                    (NP (NN return))))))))))
    (. .)))"
11,1,Once ( this was on the third day of school ) she kneeled down to pick up some books where they'd dropped on the floor and Jack looked up her dress -- at the bare expanse of incredibly white leg .,97,"(S1
  (S
    (ADVP (RB Once))
    (PRN
      (-LRB- -LRB-)
      (S
        (NP (DT this))
        (VP
          (VBD was)
          (PP
            (IN on)
            (NP
              (NP (DT the) (JJ third) (NN day))
              (PP (IN of) (NP (NN school)))))))
      (-RRB- -RRB-))
    (NP (PRP she))
    (VP
      (VBD kneeled)
      (PRT (RP down))
      (S
        (VP
          (TO to)
          (VP
            (VB pick)
            (PRT (RP up))
            (NP (DT some) (NNS books))
            (SBAR
              (WHADVP (WRB where))
              (S
                (S
                  (NP (NNS they'd))
                  (VP
                    (VBD dropped)
                    (PP (IN on) (NP (DT the) (NN floor)))))
                (CC and)
                (S
                  (NP (NNP Jack))
                  (VP
                    (VBD looked)
                    (PRT (RP up))
                    (NP (PRP$ her) (NN dress))
                    (: --)
                    (PP
                      (IN at)
                      (NP
                        (NP (DT the) (JJ bare) (NN expanse))
                        (PP
                          (IN of)
                          (NP
                            (ADJP (RB incredibly) (JJ white))
                            (NN leg)))))))))))))
    (. .)))"
12,1,"But he , as I can now retort , was the man who could see so short a distance ahead that after a visit to Russia he gave voice to the famous exclamation : `` I have seen the future and it works '' .",18,"(S1
  (S
    (CC But)
    (NP (PRP he))
    (, ,)
    (SBAR
      (IN as)
      (S (NP (PRP I)) (VP (MD can) (ADVP (RB now)) (VP (VB retort)))))
    (, ,)
    (VP
      (VBD was)
      (NP
        (NP (DT the) (NN man))
        (SBAR
          (WHNP (WP who))
          (S
            (VP
              (MD could)
              (VP
                (VB see)
                (ADVP (RB so) (RB short))
                (ADVP
                  (ADVP (NP (DT a) (NN distance)) (RB ahead))
                  (SBAR
                    (IN that)
                    (S
                      (S
                        (PP
                          (IN after)
                          (NP
                            (NP (DT a) (NN visit))
                            (PP (TO to) (NP (NNP Russia)))))
                        (NP (PRP he))
                        (VP
                          (VBD gave)
                          (NP
                            (NP (NN voice))
                            (PP
                              (TO to)
                              (NP
                                (DT the)
                                (JJ famous)
                                (NN exclamation))))))
                      (: :)
                      (`` ``)
                      (S
                        (NP (PRP I))
                        (VP
                          (VBP have)
                          (VP (VBN seen) (NP (DT the) (NN future)))))
                      (CC and)
                      (S (NP (PRP it)) (VP (VBZ works)))
                      ('' ''))))))))))
    (. .)))"
13,1,A secret conspiracy of manufacturers is hardly such a vehicle .,63,"(S1
  (S
    (NP
      (NP (DT A) (JJ secret) (NN conspiracy))
      (PP (IN of) (NP (NNS manufacturers))))
    (VP
      (VBZ is)
      (NP (RB hardly) (NP (PDT such) (DT a) (NN vehicle))))
    (. .)))"
14,1,"`` You do not know me '' , she said in good English , `` but my mother was your governess in Philadelphia when you were a child '' .",57,"(S1
  (S
    (S
      (`` ``)
      (NP (PRP You))
      (VP (VBP do) (RB not) (VP (VB know) (NP (PRP me))))
      ('' ''))
    (PRN
      (, ,)
      (S
        (NP (PRP she))
        (VP (VBD said) (PP (IN in) (NP (JJ good) (NNP English)))))
      (, ,))
    (`` ``)
    (CC but)
    (S
      (NP (PRP$ my) (NN mother))
      (VP
        (VBD was)
        (NP (PRP$ your) (NN governess))
        (PP (IN in) (NP (NNP Philadelphia)))
        (SBAR
          (WHADVP (WRB when))
          (S
            (NP (PRP you))
            (VP (VBD were) (NP (DT a) (NN child)) ('' ''))))))
    (. .)))"
15,1,"After spending two nights ( Wednesday and Thursday ) in Catskill , the deputies again headed for the Vermejo to finish their business .",39,"(S1
  (S
    (PP
      (IN After)
      (S
        (VP
          (VBG spending)
          (NP
            (NP
              (NP (CD two) (NNS nights))
              (PRN
                (-LRB- -LRB-)
                (NP (NNP Wednesday) (CC and) (NNP Thursday))
                (-RRB- -RRB-)))
            (PP (IN in) (NP (NNP Catskill)))))))
    (, ,)
    (NP (DT the) (NNS deputies))
    (ADVP (RB again))
    (VP
      (VBD headed)
      (SBAR
        (IN for)
        (S
          (NP (DT the) (NNP Vermejo))
          (VP
            (TO to)
            (VP (VB finish) (NP (PRP$ their) (NN business)))))))
    (. .)))"
16,1,"He claimed in his attacks that Woodruff , with scurrilous underhandedness , had deliberately written an ambiguous bid that had so confused the honest members of the legislature that they had awarded him the contract without knowing what they were doing .",55,"(S1
  (S
    (NP (PRP He))
    (VP
      (VBD claimed)
      (PRT (RP in))
      (NP
        (NP (PRP$ his) (NNS attacks))
        (SBAR
          (WHNP (WDT that))
          (S
            (NP (NNP Woodruff))
            (, ,)
            (PP (IN with) (NP (JJ scurrilous) (NN underhandedness)))
            (, ,)
            (VP
              (VBD had)
              (ADVP (RB deliberately))
              (VP
                (VBN written)
                (NP
                  (NP (DT an) (JJ ambiguous) (NN bid))
                  (SBAR
                    (WHNP (WDT that))
                    (S
                      (VP
                        (VBD had)
                        (VP
                          (ADVP (RB so))
                          (VBN confused)
                          (NP
                            (NP (DT the) (JJ honest) (NNS members))
                            (PP
                              (IN of)
                              (NP
                                (DT the)
                                (NN legislature)
                                (SBAR
                                  (IN that)
                                  (S
                                    (NP (PRP they))
                                    (VP
                                      (VBD had)
                                      (VP
                                        (VBN awarded)
                                        (NP (PRP him))
                                        (NP (DT the) (NN contract))
                                        (PP
                                          (IN without)
                                          (S
                                            (VP
                                              (VBG knowing)
                                              (SBAR
                                                (WHNP (WP what))
                                                (S
                                                  (NP (PRP they))
                                                  (VP
                                                    (VBD were)
                                                    (VP (VBG doing))))))))))))))))))))))))))
    (. .)))"
17,1,"The defendant , William L. Stickney 3 , 23 , of 3211 Park pl. , Evanston , who pleaded guilty to reckless driving , also was ordered by Judge James Corcoran to attend the Evanston traffic school each Tuesday night for one month .",59,"(S1
  (S
    (NP
      (NP (DT The) (NN defendant))
      (, ,)
      (NP
        (NP
          (NNP William)
          (NNP L.)
          (NNP Stickney)
          (CD 3)
          (, ,)
          (CD 23)
          (, ,))
        (PP
          (IN of)
          (NP
            (NP (CD 3211) (NNP Park) (CD pl.))
            (, ,)
            (NP (NNP Evanston)))))
      (, ,)
      (SBAR
        (WHNP (WP who))
        (S
          (VP
            (VBD pleaded)
            (ADJP
              (JJ guilty)
              (PP (TO to) (NP (JJ reckless) (NN driving)))))))
      (, ,))
    (ADVP (RB also))
    (VP
      (VBD was)
      (VP
        (VBN ordered)
        (PP (IN by) (NP (NNP Judge) (NNP James) (NNP Corcoran)))
        (S
          (VP
            (TO to)
            (VP
              (VB attend)
              (NP (DT the) (NNP Evanston) (NN traffic) (NN school)))))
        (NP (DT each) (NNP Tuesday) (NN night))
        (PP (IN for) (NP (CD one) (NN month)))))
    (. .)))"
18,1,When cattle in winter stopped and humped their backs up they were said to `` bow up '' .,25,"(S1
  (S
    (SBAR
      (WHADVP (WRB When))
      (S
        (NP (NP (NNS cattle)) (PP (IN in) (NP (NN winter))))
        (VP
          (VP (VBD stopped))
          (CC and)
          (VP
            (VBD humped)
            (NP (PRP$ their) (NNS backs))
            (PRT (RP up))))))
    (NP (PRP they))
    (VP
      (VBD were)
      (VP
        (VBN said)
        (S
          (VP
            (TO to)
            (VP (`` ``) (VP (VB bow) (ADVP (RB up))) ('' ''))))))
    (. .)))"
19,1,The article presents the reader with an absurdity at its beginning .,92,"(S1
  (S
    (NP (DT The) (NN article))
    (VP
      (VBZ presents)
      (NP
        (NP (DT the) (NN reader))
        (PP
          (IN with)
          (NP
            (NP (DT an) (NN absurdity))
            (PP (IN at) (NP (PRP$ its) (VBG beginning)))))))
    (. .)))"
0,2,Will argument and debate decide its truth or falsity ? ?,30,"(S1
  (SQ
    (MD Will)
    (NP (NP (NN argument)) (CC and) (NP (NN debate)))
    (VP (VB decide) (NP (PRP$ its) (NN truth) (CC or) (NN falsity)))
    (. ?)
    (. ?)))"
1,2,"With a cop patrolling the road Muller would have to be inside a building -- if he was here at all , and not waiting for the prime minister somewhere between this street and the terminal building at La Guardia Airport .",27,"(S1
  (S
    (PP (IN With) (NP (DT a) (NN cop) (NN patrolling)))
    (NP (DT the) (NN road) (NN Muller))
    (VP
      (MD would)
      (VP
        (VB have)
        (S
          (VP
            (TO to)
            (VP (VB be) (PP (IN inside) (NP (DT a) (NN building))))))
        (: --)
        (SBAR
          (IN if)
          (S
            (NP (PRP he))
            (VP
              (VBD was)
              (ADVP (RB here))
              (PP (IN at) (NP (DT all))))))))
    (, ,)
    (CC and)
    (S
      (RB not)
      (VP
        (VBG waiting)
        (PP
          (IN for)
          (NP
            (NP
              (NP (DT the) (JJ prime) (NN minister))
              (ADVP
                (RB somewhere)
                (PP (IN between) (NP (DT this) (NN street)))))
            (CC and)
            (NP
              (NP (DT the) (NN terminal) (NN building))
              (PP (IN at) (NP (NNP La) (NNP Guardia) (NNP Airport))))))))
    (. .)))"
