question,truth
"PORT JERVIS, NEW YORK - 2000",8860
"PORTLAND, MAINE - 2000",64249
"PORTLAND, OREGON - 2000",529121
"RACINE, WISCONSIN - 2000",81855
"RALEIGH, NORTH CAROLINA - 2000",276093
"RAY, NORTH DAKOTA - 2000",534
"REEDLEY, CALIFORNIA - 2000",20756
"REEDSPORT, OREGON - 2000",4378
"RENO, NEVADA - 2000",180480
"RENTON, WASHINGTON - 2000",50052
"ROCHESTER, NEW YORK - 2000",219773
"ROGERS, ARKANSAS - 2000",38829
"RONDA, NORTH CAROLINA - 2000",460
"ROSMAN, NORTH CAROLINA - 2000",490
"ROWE, MASSACHUSETTS - 2000",351
"ROXBORO, NORTH CAROLINA - 2000",8696
"RUPERT, IDAHO - 2000",5645
"RUSK, TEXAS - 2000",5085
"SACRAMENTO, CALIFORNIA - 2000",407018
"SAGINAW, MICHIGAN - 2000",61799
"SALINA, KANSAS - 2000",45679
"SALINE, MICHIGAN - 2000",8034
"SALISBURY, MARYLAND - 2000",23743
"SALISBURY, NEW HAMPSHIRE - 2000",1137
"SALLISAW, OKLAHOMA - 2000",7989
"SALT LAKE CITY, UTAH - 2000",181743
"SAN JUAN CAPISTRANO, CALIFORNIA - 2000",33826
"SANTA MONICA, CALIFORNIA - 2000",84084
"SARTELL, MINNESOTA - 2000",9641
"SAULT STE. MARIE, MICHIGAN - 2000",16542
"SAVAGE, MINNESOTA - 2000",21115
"SCHAUMBURG, ILLINOIS - 2000",75386
"SCRANTON, PENNSYLVANIA - 2000",76415
"SEABROOK, NEW HAMPSHIRE - 2000",7934
"SHANIKO, OREGON - 2000",26
"SHEBOYGAN FALLS, WISCONSIN - 2000",6772
"SHERWOOD, OREGON - 2000",11791
"SIX MILE, SOUTH CAROLINA - 2000",553
"SMITH VILLAGE, OKLAHOMA - 2000",40
"SMITHFIELD, NORTH CAROLINA - 2000",11510
"SOUTHAVEN, MISSISSIPPI - 2000",28977
"SPARTA, TENNESSEE - 2000",4599
"SPRINGFIELD, MASSACHUSETTS - 2000",152082
"SQUAW LAKE, MINNESOTA - 2000",99
"ST. CLOUD, MINNESOTA - 2000",59107
"ST. GEORGE, KANSAS - 2000",434
"ST. LOUIS, MISSOURI - 2005",352572
"ST. LOUIS, MISSOURI - 2006",353837
"ST. MARYS, OHIO - 2000",8342
"STERLING, KANSAS - 2000",2642
"STEUBENVILLE, OHIO - 2000",19015
"STOCKHOLM, WISCONSIN - 2000",97
"STRASBURG, OHIO - 2000",2310
"SUMMERVILLE, SOUTH CAROLINA - 2000",27752
"SWEENY, TEXAS - 2000",3624
"SYLVA, NORTH CAROLINA - 2000",2435
"TALLAHASSEE, FLORIDA - 2000",150624
"TELL CITY, INDIANA - 2000",7845
"TERRE HAUTE, INDIANA - 2000",59614
"THREE OAKS, MICHIGAN - 2000",1829
"TORRANCE, CALIFORNIA - 2000",137946
"TREECE, KANSAS - 2000",149
"TROUTDALE, VIRGINIA - 2000",1230
"TUPELO, MISSISSIPPI - 2000",34211
"URBANA, ILLINOIS - 2000",36395
"UTICA, NEW YORK - 2000",60651
"VALLEJO, CALIFORNIA - 2000",116760
"VALLEY STREAM, NEW YORK - 2000",36368
"VICKSBURG, MISSISSIPPI - 2000",26407
"VILLA PARK, CALIFORNIA - 2000",5999
"VINCENNES, INDIANA - 2000",18701
"VINCENT, IOWA - 2000",158
"VIRGINIA BEACH, VIRGINIA - 2000",425257
"WAKEFIELD, KANSAS - 2000",838
"WALKER, MICHIGAN - 2000",21842
"WASHBURN, WISCONSIN - 2000",2280
"WELLS, WISCONSIN - 2000",529
"WENATCHEE, WASHINGTON - 2000",27856
"WHITE PLAINS, NEW YORK - 2000",53077
"WILLIAMSBURG, VIRGINIA - 2000",11998
"WILLMAR, MINNESOTA - 2000",18351
"WILMINGTON, NORTH CAROLINA - 2000",75838
"WILSONVILLE, OREGON - 2000",13991
"WINONA, MINNESOTA - 2000",27069
"WINSLOW, MAINE - 2000",7743
"WINSTON-SALEM, NORTH CAROLINA - 2000",185776
"WINTER PARK, COLORADO - 2000",662
"WOODBURY, MINNESOTA - 2000",46463
"YARMOUTH, MASSACHUSETTS - 2000",24807
"ZILLAH, WASHINGTON - 2000",2198
