question,worker,answer
95,3,3
95,9,1
95,10,3
95,13,1
95,20,2
95,22,1
95,44,1
95,67,1
113,1,3
113,2,3
113,3,1
113,12,0
113,20,3
113,23,3
113,37,3
113,52,3
113,54,3
113,73,3
383,1,1
383,10,0
383,34,1
383,39,2
383,40,2
383,44,2
383,47,0
383,48,1
383,79,1
383,102,1
179,1,2
179,9,1
179,20,3
179,23,2
179,31,3
179,34,3
179,42,2
179,48,2
179,54,1
179,65,1
124,1,2
124,9,0
124,19,2
124,21,0
124,23,0
124,25,1
124,35,1
124,36,3
124,40,0
124,56,0
88,1,1
88,9,1
88,10,1
88,16,0
88,19,1
88,21,3
88,37,0
88,42,1
88,51,1
88,55,1
42,1,0
42,10,0
42,11,0
42,12,3
42,16,0
42,35,2
42,40,1
42,43,0
42,58,0
42,65,1
202,1,2
202,10,3
202,12,2
202,22,0
202,23,3
202,31,0
202,34,0
202,39,1
202,43,2
202,51,2
185,1,3
185,12,3
185,20,2
185,21,3
185,25,3
185,31,2
185,35,2
185,43,3
185,55,2
185,60,3
365,1,1
365,6,3
365,9,1
365,16,0
365,22,0
365,35,2
365,40,1
365,43,1
365,44,0
365,55,2
451,1,3
451,13,2
451,16,0
451,31,1
451,35,1
451,36,1
451,37,3
451,43,3
451,62,1
451,94,3
34,1,0
34,3,1
34,13,1
34,14,3
34,15,3
34,16,3
34,24,0
34,31,1
34,35,1
34,53,0
12,1,1
12,2,1
12,4,2
12,8,2
12,10,1
12,26,1
12,31,0
12,34,1
12,43,1
12,50,2
419,1,3
419,9,0
419,21,2
419,34,1
419,35,2
419,43,3
419,44,1
419,49,3
419,54,0
419,69,1
208,1,1
208,3,0
208,8,0
208,9,1
208,28,2
208,34,1
208,44,2
208,47,1
208,53,0
208,65,1
102,1,1
102,9,3
102,15,3
102,27,1
102,28,0
102,31,3
102,34,1
102,50,1
102,60,1
102,73,1
220,1,0
220,3,0
220,5,2
220,21,3
220,23,3
220,44,0
220,47,2
220,57,2
220,61,0
220,76,0
415,1,2
415,6,0
415,22,2
415,31,3
415,35,1
415,41,3
415,58,2
415,62,2
415,63,3
415,69,0
459,1,2
459,6,1
459,12,0
459,13,2
459,15,3
459,22,2
459,23,2
459,34,2
459,55,0
459,56,0
562,1,1
562,4,2
562,13,1
562,16,2
562,21,2
562,22,1
562,37,1
562,40,3
562,43,3
562,48,1
428,1,2
428,3,3
428,5,3
428,17,0
428,27,0
428,34,0
428,41,0
428,61,0
428,72,0
428,80,0
13,1,1
13,2,2
13,5,3
13,9,3
13,10,3
13,12,3
13,13,1
13,14,2
13,25,2
13,43,3
1,1,1
1,2,0
1,3,3
1,4,2
1,5,0
1,6,0
1,7,0
1,8,1
1,9,1
1,10,3
240,1,0
240,2,2
240,13,2
240,16,2
240,19,1
240,20,3
240,23,2
240,43,3
240,49,1
240,54,2
118,1,3
118,8,3
118,16,2
118,20,3
118,23,2
118,25,2
118,28,1
118,29,0
118,34,2
118,53,3
90,1,0
90,3,3
90,4,1
90,13,3
90,36,0
90,48,1
90,49,1
90,50,1
90,77,0
90,90,0
398,1,0
398,10,1
398,13,2
398,25,0
398,35,3
398,40,1
398,47,1
398,51,1
398,53,0
398,91,1
110,1,1
110,3,2
110,9,2
110,21,0
110,22,0
110,35,2
110,45,1
110,55,3
110,56,0
110,61,2
347,1,3
347,3,0
347,8,2
347,10,2
347,12,1
347,34,1
347,44,3
347,47,1
347,50,1
347,61,1
308,1,3
308,4,0
308,6,0
308,13,0
308,16,0
308,23,0
308,31,0
308,50,1
308,72,0
308,90,1
270,1,2
270,11,3
270,16,3
270,20,0
270,35,1
270,39,1
270,40,3
270,69,2
270,81,3
270,85,3
579,1,0
579,7,0
579,9,2
579,12,2
579,13,1
579,17,0
579,20,0
579,25,0
579,51,2
579,53,3
292,1,3
292,10,3
292,13,2
292,19,2
292,21,2
292,28,2
292,35,1
292,52,2
292,73,2
292,99,0
403,1,2
403,3,1
403,13,0
403,16,0
403,22,2
403,35,0
403,40,2
403,43,1
403,56,0
403,61,1
594,1,2
594,3,3
594,7,3
594,10,2
594,16,1
594,22,2
594,29,0
594,55,2
594,60,0
594,63,1
354,1,0
354,5,2
354,15,3
354,23,1
354,27,1
354,32,1
354,52,3
354,55,2
354,60,1
354,62,1
269,1,2
269,3,3
269,13,0
269,15,0
269,16,2
269,22,2
269,36,0
269,53,3
269,57,3
269,75,0
615,1,1
615,8,2
615,13,0
615,34,3
615,36,1
615,37,0
615,42,3
615,43,0
615,47,0
615,62,2
678,1,1
678,13,3
678,16,2
678,20,2
678,22,3
678,25,0
678,34,3
678,43,3
678,54,3
678,88,2
628,1,1
628,8,2
628,13,0
628,16,1
628,20,2
628,29,1
628,34,0
628,35,0
628,53,1
628,66,0
479,1,2
479,3,2
479,17,3
479,20,0
479,22,3
479,23,1
479,31,2
479,32,0
479,35,2
479,65,0
156,1,1
156,3,0
156,8,3
156,21,1
156,22,3
156,25,0
156,31,3
156,35,3
156,39,1
156,56,3
345,1,0
345,13,0
345,16,0
345,23,2
345,25,3
345,34,3
345,37,0
345,54,3
345,58,1
345,97,1
222,1,3
222,9,2
222,10,2
222,13,3
222,16,0
222,20,3
222,34,0
222,41,0
222,54,1
222,72,0
452,1,3
452,2,2
452,9,2
452,16,2
452,25,3
452,28,2
452,29,2
452,31,3
452,37,0
452,56,1
106,1,1
106,3,1
106,9,3
106,37,3
106,42,2
106,43,3
106,54,2
106,55,1
106,56,0
106,61,3
433,1,3
433,5,1
433,9,0
433,15,3
433,16,3
433,25,2
433,28,0
433,43,1
433,52,0
433,58,0
525,1,2
525,3,1
525,13,0
525,19,1
525,31,0
525,40,1
525,53,3
525,56,3
525,60,1
525,65,1
370,1,2
370,9,3
370,16,3
370,20,2
370,23,3
370,35,3
370,37,3
370,53,0
370,58,2
370,66,2
718,1,3
718,9,1
718,12,2
718,13,2
718,16,3
718,22,0
718,25,0
718,31,0
718,34,2
718,58,2
41,1,3
41,16,1
41,30,0
41,31,0
41,34,1
41,35,0
41,49,3
41,72,2
41,74,3
41,75,2
595,1,1
595,12,2
595,13,0
595,20,1
595,21,3
595,32,0
595,35,2
595,50,3
595,58,3
595,59,3
369,1,0
369,5,2
369,14,0
369,16,2
369,23,3
369,34,2
369,35,1
369,37,0
369,85,1
369,88,3
213,1,0
213,14,2
213,15,3
213,16,1
213,17,0
213,23,1
213,31,3
213,34,1
213,35,3
213,40,1
650,1,3
650,2,3
650,3,3
650,9,2
650,16,2
650,17,2
650,20,1
650,35,0
650,40,2
650,43,2
73,1,2
73,3,1
73,9,1
73,13,3
73,16,2
73,20,0
73,35,1
73,37,0
73,40,1
73,53,0
563,1,2
563,6,3
563,10,1
563,14,0
563,16,0
563,25,0
563,34,0
563,45,1
563,47,1
563,61,0
272,1,2
272,16,3
272,28,3
272,29,3
272,34,1
272,39,2
272,42,3
272,48,3
272,58,3
272,88,0
276,1,0
276,5,2
276,9,2
276,20,0
276,22,2
276,23,2
276,24,1
276,31,0
276,37,0
276,50,2
553,1,3
553,2,2
553,5,2
553,28,3
553,43,2
553,44,3
553,50,2
553,54,2
553,61,2
553,99,3
632,1,0
632,3,2
632,5,2
632,9,3
632,13,3
632,29,3
632,37,1
632,43,3
632,65,3
632,105,3
211,1,2
211,3,3
211,13,1
211,19,1
211,37,0
211,40,3
211,44,0
211,54,2
211,57,3
211,89,0
568,1,3
568,14,1
568,20,3
568,40,2
568,43,1
568,54,3
568,56,2
568,61,2
568,63,0
568,89,3
366,1,1
366,4,3
366,16,2
366,21,3
366,34,0
366,35,1
366,39,1
366,41,2
366,43,3
366,51,3
209,1,0
209,3,1
209,10,1
209,20,2
209,31,0
209,35,1
209,36,3
209,41,2
209,43,2
209,61,3
174,1,0
174,3,2
174,6,3
174,10,0
174,13,3
174,21,0
174,22,3
174,35,3
174,60,3
174,61,0
8,1,2
8,3,2
8,5,0
8,20,2
8,23,0
8,40,0
8,44,1
8,45,0
8,46,2
8,47,0
232,1,1
232,13,2
232,29,3
232,31,0
232,40,0
232,47,1
232,49,3
232,51,3
232,63,1
232,72,3
679,1,1
679,6,3
679,10,2
679,16,0
679,19,0
679,34,0
679,37,1
679,59,0
679,61,0
679,66,3
617,1,3
617,10,0
617,19,2
617,21,0
617,31,1
617,34,1
617,35,3
617,39,1
617,43,2
617,58,2
714,1,3
714,11,0
714,16,2
714,20,3
714,22,1
714,28,3
714,31,3
714,35,2
714,43,1
714,47,0
581,1,1
581,13,0
581,19,2
581,37,0
581,39,2
581,41,0
581,43,2
581,47,1
581,56,1
581,63,0
256,1,3
256,8,1
256,13,1
256,14,1
256,20,2
256,22,3
256,31,3
256,35,3
256,44,1
256,53,2
359,1,0
359,9,2
359,16,3
359,22,1
359,25,1
359,34,1
359,48,2
359,55,3
359,61,1
359,97,3
65,1,0
65,3,2
65,5,3
65,26,1
65,34,1
65,36,3
65,39,1
65,40,3
65,41,3
65,55,0
31,1,0
31,9,2
31,10,0
31,13,2
31,15,0
31,20,1
31,31,0
31,35,0
31,43,1
31,48,2
216,1,2
216,3,3
216,8,0
216,13,0
216,15,0
216,16,3
216,26,0
216,31,1
216,49,1
216,70,2
388,1,0
388,2,1
388,4,3
388,6,0
388,14,2
388,16,2
388,40,1
388,41,1
388,50,0
388,51,1
322,1,1
322,3,3
322,9,3
322,17,1
322,20,0
322,41,2
322,44,1
322,45,3
322,61,3
322,87,1
183,1,1
183,25,0
183,29,3
183,31,2
183,33,3
183,34,3
183,37,3
183,55,2
183,75,3
183,95,3
84,1,2
84,14,2
84,16,2
84,17,0
84,20,2
84,22,0
84,25,3
84,35,1
84,40,1
84,56,2
448,1,0
448,3,3
448,13,2
448,17,2
448,20,1
448,35,0
448,37,2
448,43,3
448,50,0
448,58,2
426,1,2
426,9,1
426,13,1
426,28,0
426,34,3
426,35,3
426,37,1
426,40,1
426,54,0
426,58,3
57,1,2
57,5,1
57,8,3
57,37,3
57,43,3
57,45,2
57,47,1
57,49,3
57,52,3
57,80,3
552,1,1
552,9,0
552,12,3
552,16,0
552,22,0
552,23,0
552,31,3
552,39,0
552,45,0
552,55,2
497,1,1
497,4,2
497,5,3
497,21,1
497,23,0
497,35,3
497,43,3
497,53,2
497,54,2
497,55,0
97,1,3
97,10,2
97,15,1
97,17,1
97,31,2
97,37,3
97,39,0
97,43,3
97,62,1
97,90,2
287,1,2
287,3,0
287,9,0
287,11,2
287,20,3
287,22,0
287,29,0
287,43,2
287,58,1
287,90,0
590,1,3
590,3,0
590,12,0
590,13,0
590,15,2
590,16,2
590,20,3
590,56,2
590,60,3
590,76,0
310,1,3
310,13,1
310,22,1
310,23,1
310,27,1
310,34,3
310,36,1
310,43,1
310,45,0
310,63,2
100,1,1
100,3,3
100,4,0
100,10,0
100,13,2
100,26,1
100,34,0
100,49,0
100,56,2
100,61,0
6,1,1
6,13,3
6,16,2
6,20,1
6,25,0
6,35,1
6,36,2
6,37,2
6,38,1
6,39,2
164,1,2
164,14,2
164,20,3
164,29,1
164,30,3
164,31,2
164,41,2
164,56,1
164,58,3
164,89,0
730,1,3
730,3,3
730,9,2
730,11,0
730,14,1
730,20,3
730,25,0
730,34,2
730,53,0
730,73,2
257,1,1
257,2,0
257,5,3
257,31,1
257,35,0
257,37,1
257,48,0
257,52,0
257,60,2
257,90,0
304,1,3
304,2,3
304,16,2
304,17,1
304,23,1
304,29,3
304,31,0
304,61,1
304,90,0
304,97,0
242,1,1
242,3,1
242,8,2
242,13,3
242,31,0
242,34,2
242,35,0
242,37,3
242,40,2
242,43,1
259,1,3
259,7,2
259,9,3
259,13,2
259,34,3
259,37,2
259,56,2
259,58,1
259,62,3
259,98,2
574,1,1
574,14,1
574,20,1
574,21,1
574,25,0
574,27,0
574,28,0
574,30,3
574,43,0
574,56,2
555,1,1
555,16,1
555,20,3
555,22,2
555,23,0
555,34,0
555,35,0
555,36,0
555,40,0
555,63,1
524,1,0
524,10,2
524,14,3
524,21,2
524,30,3
524,35,2
524,40,0
524,54,2
524,66,2
524,69,3
75,1,1
75,5,3
75,15,1
75,17,3
75,23,0
75,34,2
75,40,3
75,43,1
75,52,3
75,56,2
46,1,1
46,2,1
46,7,0
46,9,0
46,16,0
46,23,0
46,37,1
46,40,0
46,43,0
46,47,0
81,1,3
81,12,2
81,15,0
81,31,0
81,37,1
81,39,3
81,41,2
81,67,1
81,77,1
81,85,2
489,1,0
489,13,0
489,31,1
489,39,3
489,41,2
489,47,2
489,50,2
489,56,1
489,63,1
489,80,2
78,1,0
78,9,2
78,10,0
78,16,3
78,20,0
78,21,2
78,22,3
78,29,3
78,30,0
78,43,3
611,1,0
611,11,0
611,13,3
611,17,3
611,21,3
611,22,2
611,34,2
611,37,3
611,43,3
611,56,3
125,1,1
125,15,3
125,16,2
125,22,3
125,28,0
125,30,0
125,39,3
125,47,2
125,50,1
125,81,0
593,1,0
593,3,2
593,9,0
593,15,2
593,22,1
593,37,3
593,39,2
593,41,3
593,53,2
593,80,2
23,1,1
23,3,3
23,10,0
23,13,2
23,20,2
23,36,0
23,39,2
23,48,0
23,55,3
23,64,0
655,1,2
655,2,2
655,3,3
655,11,2
655,13,2
655,16,0
655,31,2
655,40,2
655,55,0
655,56,0
142,1,1
142,9,3
142,10,2
142,16,0
142,20,0
142,21,2
142,22,1
142,37,2
142,52,1
142,86,0
317,1,1
317,2,2
317,3,2
317,10,3
317,13,3
317,16,2
317,22,2
317,34,0
317,37,1
317,62,2
116,1,1
116,12,1
116,13,3
116,14,3
116,17,0
116,23,3
116,35,1
116,40,3
116,47,3
116,61,3
705,1,0
705,13,2
705,20,1
705,22,1
705,29,2
705,30,2
705,34,3
705,58,2
705,60,3
705,61,2
229,1,1
229,9,0
229,13,0
229,23,0
229,34,0
229,37,0
229,40,0
229,43,0
229,51,0
229,55,1
324,2,3
324,9,3
324,13,1
324,19,0
324,24,0
324,31,1
324,44,3
324,62,1
324,88,0
324,89,0
218,2,2
218,3,2
218,6,1
218,14,2
218,17,2
218,31,3
218,40,2
218,55,2
218,62,0
218,69,1
231,2,1
231,4,3
231,6,2
231,16,0
231,17,2
231,19,1
231,35,1
231,37,2
231,43,0
231,68,1
64,2,2
64,13,3
64,23,2
64,29,2
64,35,0
64,39,0
64,40,2
64,47,1
64,55,3
64,83,1
393,2,0
393,3,3
393,7,0
393,16,3
393,27,0
393,31,1
393,35,3
393,37,0
393,39,1
393,70,3
146,2,1
146,3,0
146,5,1
146,9,1
146,15,2
146,21,1
146,22,0
146,37,2
146,40,0
146,76,2
137,2,3
137,10,3
137,21,3
137,23,0
137,27,3
137,34,3
137,35,3
137,37,3
137,44,3
137,50,0
464,2,2
464,3,2
464,13,2
464,16,1
464,31,0
464,36,0
464,43,2
464,50,3
464,65,2
464,81,0
407,2,1
407,9,2
407,29,1
407,31,0
407,34,3
407,50,1
407,56,2
407,63,0
407,66,2
407,85,0
367,2,1
367,3,2
367,16,2
367,19,1
367,20,0
367,23,3
367,31,0
367,40,0
367,50,2
367,63,3
344,2,2
344,3,1
344,4,1
344,23,3
344,37,2
344,61,3
344,62,3
344,72,2
344,85,1
344,99,0
352,2,1
352,11,2
352,20,2
352,21,1
352,25,1
352,31,3
352,35,1
352,41,0
352,44,3
352,52,0
168,2,0
168,3,0
168,7,3
168,9,0
168,13,3
168,29,0
168,44,2
168,53,2
168,61,0
168,76,3
523,2,0
523,10,2
523,20,1
523,23,2
523,30,2
523,37,0
523,49,0
523,51,0
523,58,0
523,63,2
644,2,1
644,3,3
644,10,3
644,13,3
644,19,1
644,21,1
644,31,0
644,34,1
644,40,1
644,56,1
544,2,0
544,3,0
544,5,0
544,9,0
544,13,3
544,16,0
544,35,2
544,40,0
544,43,1
544,59,2
45,2,0
45,3,0
45,9,2
45,10,3
45,16,0
45,20,1
45,31,1
45,39,3
45,53,2
45,67,2
363,2,3
363,10,3
363,13,3
363,15,3
363,37,3
363,39,0
363,40,3
363,50,3
363,56,1
363,60,3
436,2,3
436,3,3
436,4,1
436,7,3
436,16,3
436,20,0
436,22,1
436,37,3
436,61,3
436,70,0
537,2,3
537,9,3
537,12,0
537,20,1
537,23,3
537,30,3
537,36,1
537,47,2
537,66,3
537,76,0
449,2,3
449,5,3
449,12,1
449,20,1
449,23,3
449,35,1
449,37,0
449,41,2
449,46,1
449,57,1
337,2,3
337,3,2
337,8,2
337,10,3
337,13,2
337,21,1
337,39,3
337,41,1
337,47,3
337,88,1
334,2,3
334,12,2
334,20,1
334,23,3
334,26,3
334,28,1
334,35,1
334,43,3
334,47,3
334,98,2
297,2,2
297,3,2
297,9,0
297,28,2
297,34,3
297,37,0
297,40,0
297,41,1
297,51,2
297,55,2
288,2,0
288,9,3
288,22,3
288,28,0
288,29,0
288,31,3
288,34,2
288,40,0
288,43,0
288,58,0
217,2,1
217,8,0
217,9,2
217,17,0
217,27,0
217,37,3
217,41,1
217,60,1
217,63,3
217,77,1
63,2,1
63,3,1
63,19,1
63,34,1
63,37,3
63,40,1
63,43,1
63,55,1
63,83,3
63,84,1
25,2,2
25,3,1
25,9,2
25,10,0
25,22,3
25,34,2
25,44,0
25,50,3
25,58,3
25,66,3
668,2,3
668,3,3
668,13,3
668,19,3
668,22,3
668,23,3
668,35,2
668,40,1
668,44,3
668,54,1
234,2,1
234,3,1
234,9,1
234,16,1
234,20,0
234,43,1
234,55,0
234,56,0
234,63,2
234,74,1
330,2,0
330,8,1
330,27,0
330,31,0
330,34,0
330,35,3
330,39,2
330,47,1
330,69,1
330,96,2
169,2,1
169,7,1
169,13,1
169,16,3
169,20,2
169,21,0
169,35,0
169,39,2
169,45,0
169,62,1
560,2,1
560,12,0
560,13,1
560,16,0
560,26,1
560,35,1
560,53,0
560,58,1
560,60,0
560,65,3
382,2,3
382,9,0
382,13,3
382,19,3
382,20,0
382,21,1
382,23,3
382,28,3
382,40,3
382,56,1
566,2,3
566,3,1
566,8,3
566,20,1
566,23,3
566,42,2
566,43,3
566,54,3
566,60,3
566,62,1
349,2,1
349,5,1
349,6,0
349,9,1
349,14,2
349,20,3
349,34,1
349,35,2
349,42,0
349,51,1
62,2,0
62,7,0
62,10,0
62,13,2
62,34,1
62,39,2
62,42,2
62,61,0
62,76,3
62,81,2
358,2,3
358,9,2
358,12,0
358,13,3
358,21,3
358,25,1
358,35,0
358,36,1
358,52,3
358,54,3
339,2,2
339,3,0
339,12,2
339,14,1
339,19,3
339,32,2
339,34,2
339,35,2
339,37,2
339,67,2
188,2,0
188,3,2
188,9,3
188,15,2
188,16,1
188,28,2
188,31,2
188,40,2
188,41,0
188,60,0
577,2,0
577,7,3
577,9,2
577,10,2
577,28,1
577,31,1
577,37,2
577,50,2
577,56,0
577,81,2
427,2,1
427,3,3
427,10,3
427,13,2
427,15,3
427,21,2
427,22,1
427,34,3
427,42,3
427,67,3
51,2,3
51,9,2
51,17,2
51,23,2
51,24,1
51,25,3
51,39,2
51,40,1
51,54,1
51,58,1
331,2,2
331,3,1
331,13,3
331,14,0
331,16,3
331,27,3
331,35,2
331,40,3
331,58,3
331,68,3
235,2,3
235,3,2
235,9,2
235,10,2
235,12,1
235,13,1
235,16,3
235,26,0
235,50,0
235,95,1
539,2,0
539,3,3
539,8,0
539,21,1
539,23,2
539,31,3
539,43,3
539,45,0
539,47,2
539,55,0
10,2,2
10,3,0
10,9,0
10,12,0
10,16,0
10,21,3
10,34,0
10,51,0
10,53,2
10,54,0
175,2,3
175,3,2
175,13,1
175,16,1
175,21,1
175,30,2
175,35,0
175,40,1
175,43,2
175,47,1
145,2,1
145,9,1
145,13,0
145,16,0
145,17,0
145,22,3
145,29,0
145,31,2
145,32,1
145,39,1
652,2,3
652,9,0
652,13,3
652,16,0
652,31,1
652,34,0
652,40,0
652,57,2
652,62,3
652,66,0
425,2,0
425,3,1
425,12,3
425,16,1
425,31,0
425,34,2
425,35,0
425,37,2
425,56,1
425,99,3
171,2,1
171,9,0
171,15,2
171,16,0
171,35,0
171,37,2
171,41,0
171,55,0
171,57,3
171,61,2
83,2,2
83,10,0
83,11,2
83,13,1
83,16,1
83,20,1
83,21,0
83,26,0
83,77,2
83,89,1
49,2,1
49,3,2
49,9,1
49,16,1
49,25,3
49,28,2
49,35,0
49,50,2
49,73,3
49,76,2
603,2,0
603,3,0
603,9,3
603,11,3
603,21,0
603,22,1
603,31,0
603,35,0
603,49,0
603,58,3
627,2,3
627,3,1
627,5,2
627,9,2
627,12,3
627,16,0
627,35,3
627,40,3
627,43,2
627,60,3
123,2,1
123,3,3
123,16,3
123,21,1
123,26,2
123,31,0
123,35,0
123,37,0
123,50,0
123,52,1
406,2,2
406,13,3
406,16,1
406,22,0
406,26,1
406,34,1
406,35,1
406,50,3
406,61,1
406,70,1
450,2,2
450,10,0
450,12,1
450,13,3
450,25,3
450,32,1
450,35,2
450,40,3
450,41,2
450,52,2
109,2,3
109,3,0
109,15,1
109,21,0
109,34,3
109,35,0
109,40,1
109,44,0
109,47,1
109,78,1
614,2,3
614,3,0
614,13,2
614,21,1
614,29,2
614,30,0
614,34,2
614,35,0
614,61,2
614,65,2
496,2,0
496,9,1
496,16,3
496,17,1
496,28,3
496,31,3
496,35,1
496,43,3
496,49,1
496,69,2
27,2,2
27,3,2
27,9,0
27,13,2
27,23,3
27,25,1
27,34,3
27,52,3
27,56,0
27,67,3
241,2,3
241,3,0
241,5,3
241,12,1
241,13,1
241,22,2
241,25,0
241,29,0
241,41,0
241,58,0
432,2,1
432,14,3
432,16,0
432,20,1
432,22,1
432,24,0
432,29,3
432,31,3
432,34,2
432,53,0
561,2,2
561,8,2
561,13,3
561,17,3
561,19,2
561,20,0
561,35,2
561,39,2
561,55,1
561,56,3
210,2,1
210,3,1
210,13,2
210,31,3
210,35,2
210,47,0
210,48,2
210,54,2
210,66,3
210,94,2
423,2,3
423,13,2
423,16,1
423,17,2
423,23,3
423,53,2
423,56,2
423,60,0
423,65,2
423,90,1
252,2,3
252,3,1
252,7,2
252,16,1
252,22,3
252,23,2
252,39,2
252,41,3
252,42,2
252,54,2
